cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
108,52.3,52.4,52.3,52.4,99.80916030534351
109,52.3,52.4,52.3,52.4,99.80916030534351
110,52.4,52.4,52.4,52.4,100.0
111,52.3,52.4,52.3,52.4,99.80916030534351
112,52.2,52.3,52.2,52.3,99.80879541108987
113,52.2,52.3,52.2,52.3,99.80879541108987
114,52.2,52.5,52.2,52.5,99.42857142857143
115,52.4,52.3,52.4,52.3,100.19120458891013
116,52.2,52.3,52.2,52.3,99.80879541108987
117,52.2,52.2,52.2,52.2,100.0
118,52.2,52.3,52.2,52.3,99.80879541108987
119,52.1,52.2,52.1,52.2,99.80842911877394
120,52.1,52.2,52.1,52.2,99.80842911877394
121,52.1,52.1,52.1,52.1,100.0
122,52.1,52.1,52.1,52.1,100.0
123,52.0,52.1,52.0,52.1,99.80806142034548
124,52.0,52.2,52.0,52.2,99.61685823754789
125,52.1,52.1,52.1,52.1,100.0
126,52.0,52.0,52.0,52.0,100.0
127,51.9,52.0,51.9,52.0,99.8076923076923
128,52.0,52.1,52.0,52.1,99.80806142034548
129,52.0,52.0,52.0,52.0,100.0
130,51.9,52.0,51.9,52.0,99.8076923076923
131,51.9,51.9,51.9,51.9,100.0
132,51.8,52.0,51.8,52.0,99.6153846153846
133,51.9,52.0,51.9,52.0,99.8076923076923
134,52.0,52.1,52.0,52.1,99.80806142034548
135,51.9,51.9,51.9,51.9,100.0
136,51.8,51.9,51.8,51.9,99.8073217726397
137,51.8,51.9,51.8,51.9,99.8073217726397
138,51.8,51.9,51.8,51.9,99.8073217726397
139,51.8,51.9,51.8,51.9,99.8073217726397
140,51.8,51.9,51.8,51.9,99.8073217726397
141,51.8,51.8,51.8,51.8,100.0
142,51.8,51.8,51.8,51.8,100.0
143,51.7,52.5,51.7,52.5,98.47619047619048
144,52.4,51.9,52.4,51.9,100.96339113680155
145,51.8,51.8,51.8,51.8,100.0
146,51.7,51.8,51.7,51.8,99.80694980694982
147,51.7,51.7,51.7,51.7,100.0
148,51.7,51.7,51.7,51.7,100.0
149,51.7,51.7,51.7,51.7,100.0
150,51.6,51.7,51.6,51.7,99.80657640232108
151,51.6,51.7,51.6,51.7,99.80657640232108
152,51.6,51.6,51.6,51.6,100.0
153,51.6,51.8,51.6,51.8,99.61389961389962
154,51.7,51.7,51.7,51.7,100.0
155,51.6,51.7,51.6,51.7,99.80657640232108
156,51.6,51.6,51.6,51.6,100.0
157,51.6,51.7,51.6,51.7,99.80657640232108
158,51.6,51.6,51.6,51.6,100.0
159,51.6,51.6,51.6,51.6,100.0
160,51.5,51.6,51.5,51.6,99.8062015503876
161,51.5,51.6,51.5,51.6,99.8062015503876
162,51.5,51.6,51.5,51.6,99.8062015503876
163,51.7,51.7,51.7,51.7,100.0
164,51.5,51.5,51.5,51.5,100.0
165,51.5,51.6,51.5,51.6,99.8062015503876
166,51.5,51.5,51.5,51.5,100.0
167,51.5,51.6,51.5,51.6,99.8062015503876
168,51.5,51.5,51.5,51.5,100.0
169,51.5,51.6,51.5,51.6,99.8062015503876
170,51.5,51.5,51.5,51.5,100.0
171,51.4,51.6,51.4,51.6,99.6124031007752
172,51.5,52.2,51.5,52.2,98.65900383141762
173,52.1,51.5,52.1,51.5,101.16504854368932
174,51.5,51.5,51.5,51.5,100.0
175,51.5,51.2,51.5,51.2,100.5859375
176,51.1,51.4,51.1,51.4,99.41634241245137
177,51.4,51.5,51.4,51.5,99.80582524271846
178,51.4,51.5,51.4,51.5,99.80582524271846
179,51.4,51.5,51.4,51.5,99.80582524271846
180,51.3,51.4,51.3,51.4,99.80544747081711
181,51.3,51.4,51.3,51.4,99.80544747081711
182,51.3,51.6,51.3,51.6,99.41860465116278
183,51.4,51.3,51.4,51.3,100.19493177387915
184,51.3,51.4,51.3,51.4,99.80544747081711
185,51.4,51.4,51.4,51.4,100.0
186,51.4,51.4,51.4,51.4,100.0
187,51.3,51.4,51.3,51.4,99.80544747081711
188,51.3,51.4,51.3,51.4,99.80544747081711
189,51.3,51.4,51.3,51.4,99.80544747081711
190,51.4,51.4,51.4,51.4,100.0
191,51.3,51.4,51.3,51.4,99.80544747081711
192,51.5,51.6,51.5,51.6,99.8062015503876
193,51.4,51.3,51.4,51.3,100.19493177387915
194,51.2,51.3,51.2,51.3,99.80506822612087
195,51.2,51.3,51.2,51.3,99.80506822612087
196,51.2,51.3,51.2,51.3,99.80506822612087
197,51.2,51.3,51.2,51.3,99.80506822612087
198,51.2,51.3,51.2,51.3,99.80506822612087
199,51.2,51.3,51.2,51.3,99.80506822612087
200,51.2,51.3,51.2,51.3,99.80506822612087
201,51.2,51.3,51.2,51.3,99.80506822612087
202,51.3,51.4,51.3,51.4,99.80544747081711
203,51.3,51.3,51.3,51.3,100.0
204,51.2,51.3,51.2,51.3,99.80506822612087
205,51.2,51.3,51.2,51.3,99.80506822612087
206,51.2,51.3,51.2,51.3,99.80506822612087
207,51.2,51.3,51.2,51.3,99.80506822612087
208,51.2,51.3,51.2,51.3,99.80506822612087
209,51.2,51.2,51.2,51.2,100.0
210,51.2,51.2,51.2,51.2,100.0
211,51.2,51.2,51.2,51.2,100.0
212,51.3,51.4,51.3,51.4,99.80544747081711
213,51.2,51.2,51.2,51.2,100.0
214,51.2,51.3,51.2,51.3,99.80506822612087
215,51.2,51.3,51.2,51.3,99.80506822612087
216,51.2,51.3,51.2,51.3,99.80506822612087
217,51.2,51.3,51.2,51.3,99.80506822612087
218,50.5,50.2,50.5,50.2,100.59760956175299
219,50.7,51.0,50.7,51.0,99.41176470588235
220,51.0,51.1,51.0,51.1,99.80430528375733
221,51.1,51.1,51.1,51.1,100.0
222,51.3,51.4,51.3,51.4,99.80544747081711
223,51.1,51.1,51.1,51.1,100.0
224,51.0,51.0,51.0,51.0,100.0
225,51.0,51.0,51.0,51.0,100.0
226,51.0,51.1,51.0,51.1,99.80430528375733
227,51.0,51.0,51.0,51.0,100.0
228,51.0,51.0,51.0,51.0,100.0
229,51.0,51.0,51.0,51.0,100.0
230,51.0,51.1,51.0,51.1,99.80430528375733
231,51.0,51.1,51.0,51.1,99.80430528375733
232,51.1,51.2,51.1,51.2,99.8046875
233,51.0,51.1,51.0,51.1,99.80430528375733
234,51.0,51.0,51.0,51.0,100.0
235,50.9,51.0,50.9,51.0,99.80392156862746
236,51.0,51.0,51.0,51.0,100.0
237,51.0,51.0,51.0,51.0,100.0
238,51.0,51.0,51.0,51.0,100.0
239,51.0,51.0,51.0,51.0,100.0
240,50.9,51.0,50.9,51.0,99.80392156862746
241,50.9,50.9,50.9,50.9,100.0
242,51.1,51.2,51.1,51.2,99.8046875
243,51.0,51.0,51.0,51.0,100.0
244,50.9,51.0,50.9,51.0,99.80392156862746
245,50.9,51.0,50.9,51.0,99.80392156862746
246,50.9,51.0,50.9,51.0,99.80392156862746
247,51.0,51.1,51.0,51.1,99.80430528375733
248,51.1,51.1,51.1,51.1,100.0
249,51.1,51.1,51.1,51.1,100.0
250,51.1,51.2,51.1,51.2,99.8046875
251,51.1,51.1,51.1,51.1,100.0
252,51.1,51.6,51.1,51.6,99.03100775193798
253,51.6,51.1,51.6,51.1,100.97847358121331
254,51.0,51.1,51.0,51.1,99.80430528375733
255,51.0,51.0,51.0,51.0,100.0
256,51.0,51.0,51.0,51.0,100.0
257,51.0,51.0,51.0,51.0,100.0
258,51.0,51.1,51.0,51.1,99.80430528375733
259,51.0,51.1,51.0,51.1,99.80430528375733
260,51.0,51.1,51.0,51.1,99.80430528375733
261,51.0,51.1,51.0,51.1,99.80430528375733
262,51.1,51.1,51.1,51.1,100.0
263,51.0,51.4,51.0,51.4,99.22178988326849
264,51.4,51.1,51.4,51.1,100.587084148728
265,51.0,51.1,51.0,51.1,99.80430528375733
266,51.0,51.1,51.0,51.1,99.80430528375733
267,51.1,51.1,51.1,51.1,100.0
268,51.1,51.1,51.1,51.1,100.0
269,51.1,51.1,51.1,51.1,100.0
270,51.0,51.1,51.0,51.1,99.80430528375733
271,51.0,51.1,51.0,51.1,99.80430528375733
272,51.0,51.1,51.0,51.1,99.80430528375733
273,51.0,51.1,51.0,51.1,99.80430528375733
274,51.1,51.3,51.1,51.3,99.61013645224173
275,51.2,51.2,51.2,51.2,100.0
276,51.1,51.2,51.1,51.2,99.8046875
277,51.1,51.1,51.1,51.1,100.0
278,51.1,51.2,51.1,51.2,99.8046875
279,51.1,51.1,51.1,51.1,100.0
280,51.1,51.2,51.1,51.2,99.8046875
281,51.1,51.1,51.1,51.1,100.0
282,51.0,51.1,51.0,51.1,99.80430528375733
283,51.1,51.2,51.1,51.2,99.8046875
284,51.1,51.1,51.1,51.1,100.0
