name,E_scf_Ha,G_Ha,NImag,S2,normal,gate
THF_ramangas,-232.558871019,-232.470247,0,None,True,OK
THF_ramanopt,-232.565249862,-232.477099,0,None,True,OK
THF_tzvp,-232.564548692,None,0,None,True,OK
TMSOTf_opt,-1370.07090213,-1369.974611,0,None,True,OK
TMSOTf_red_CFscan,-1370.14990735,None,0,3221225472.0,True,OK
TMSOTf_red_SiOscan,-1370.14904372,None,0,3221225472.0,True,OK
TMSOTf_tzvp,-1371.19842222,None,0,None,True,OK
_scf_monitor,None,None,0,None,False,not-normal
g16-1000,None,None,0,None,True,OK
g16-1001,None,None,0,None,False,not-normal
g16-1002,None,None,0,None,False,not-normal
g16-1003,None,None,0,None,False,not-normal
g16-1004,None,None,0,None,True,OK
g16-1005,None,None,0,None,True,OK
g16-1006,None,None,0,None,True,OK
g16-1007,None,None,0,None,False,not-normal
g16-1008,None,None,0,None,True,OK
g16-1009,None,None,0,None,True,OK
g16-1010,None,None,0,None,True,OK
g16-1011,None,None,0,None,False,not-normal
g16-1012,None,None,0,None,False,not-normal
g16-1013,None,None,0,None,True,OK
g16-1014,None,None,0,None,False,not-normal
g16-1015,None,None,0,None,True,OK
g16-1016,None,None,0,None,True,OK
g16-1017,None,None,0,None,True,OK
g16-1018,None,None,0,None,False,not-normal
g16-1019,None,None,0,None,True,OK
g16-1020,None,None,0,None,True,OK
g16-1021,None,None,0,None,True,OK
g16-1022,None,None,0,None,False,not-normal
g16-1023,None,None,0,None,False,not-normal
g16-1024,None,None,0,None,False,not-normal
g16-1025,None,None,0,None,False,not-normal
g16-1026,None,None,0,None,True,OK
g16-1027,None,None,0,None,True,OK
g16-1028,None,None,0,None,True,OK
g16-1029,None,None,0,None,False,not-normal
g16-1030,None,None,0,None,True,OK
g16-1031,None,None,0,None,True,OK
g16-1032,None,None,0,None,True,OK
g16-1033,None,None,0,None,True,OK
g16-1034,None,None,0,None,True,OK
g16-1035,None,None,0,None,False,not-normal
g16-1036,None,None,0,None,False,not-normal
