step,time_fs,Al_height_A,Al_Mg_slab_A,nCl_bonded,AlCl1_A,AlCl2_A,qAl_mulliken
948,474.0,2.693,2.782,2,2.164,2.239,0.4259
950,475.0,2.691,2.780,2,2.158,2.243,0.4224
952,476.0,2.688,2.778,2,2.152,2.246,0.4188
954,477.0,2.685,2.776,2,2.147,2.248,0.4154
956,478.0,2.682,2.774,2,2.142,2.251,0.4118
958,479.0,2.679,2.772,2,2.138,2.254,0.4087
960,480.0,2.675,2.770,2,2.135,2.257,0.4054
962,481.0,2.671,2.768,2,2.133,2.259,0.4024
964,482.0,2.667,2.766,2,2.131,2.262,0.3998
966,483.0,2.663,2.764,2,2.131,2.264,0.3978
968,484.0,2.659,2.762,2,2.131,2.266,0.3965
970,485.0,2.656,2.760,2,2.132,2.268,0.3959
972,486.0,2.652,2.758,2,2.133,2.269,0.3956
974,487.0,2.649,2.756,2,2.135,2.269,0.3953
976,488.0,2.647,2.754,2,2.136,2.269,0.3943
978,489.0,2.645,2.752,2,2.138,2.267,0.3931
980,490.0,2.644,2.750,2,2.140,2.264,0.3910
982,491.0,2.643,2.748,2,2.142,2.259,0.3881
984,492.0,2.642,2.746,2,2.144,2.254,0.3852
986,493.0,2.642,2.744,2,2.147,2.249,0.3823
988,494.0,2.641,2.742,2,2.150,2.243,0.3796
990,495.0,2.640,2.740,2,2.154,2.237,0.3772
992,496.0,2.640,2.738,2,2.159,2.231,0.3754
994,497.0,2.639,2.736,2,2.164,2.225,0.3735
996,498.0,2.638,2.734,2,2.170,2.219,0.3723
998,499.0,2.637,2.732,2,2.176,2.213,0.3709
1000,500.0,2.636,2.730,2,2.183,2.207,0.3691
1002,501.0,2.635,2.728,2,2.191,2.201,0.3678
1004,502.0,2.634,2.726,2,2.194,2.198,0.3666
1006,503.0,2.633,2.724,2,2.187,2.205,0.3652
1008,504.0,2.632,2.722,2,2.180,2.212,0.3633
1010,505.0,2.632,2.720,2,2.171,2.219,0.3608
1012,506.0,2.631,2.718,2,2.163,2.225,0.3585
1014,507.0,2.631,2.716,2,2.154,2.230,0.3555
1016,508.0,2.632,2.714,2,2.145,2.235,0.3522
1018,509.0,2.632,2.712,2,2.136,2.240,0.3481
1020,510.0,2.632,2.710,2,2.127,2.244,0.3439
1022,511.0,2.633,2.708,2,2.119,2.247,0.3401
1024,512.0,2.633,2.706,2,2.111,2.251,0.3364
1026,513.0,2.632,2.704,2,2.104,2.255,0.3322
1028,514.0,2.632,2.702,2,2.098,2.259,0.3291
1030,515.0,2.631,2.700,2,2.093,2.262,0.3262
1032,516.0,2.630,2.698,2,2.089,2.265,0.3241
1034,517.0,2.628,2.696,2,2.086,2.268,0.3228
1036,518.0,2.626,2.694,2,2.084,2.271,0.3221
1038,519.0,2.624,2.692,2,2.082,2.272,0.3217
1040,520.0,2.621,2.690,2,2.082,2.273,0.3208
1042,521.0,2.619,2.688,2,2.081,2.273,0.3194
1044,522.0,2.617,2.686,2,2.082,2.272,0.3183
1046,523.0,2.615,2.684,2,2.083,2.270,0.3170
1048,524.0,2.613,2.682,2,2.084,2.267,0.3155
1050,525.0,2.611,2.680,2,2.086,2.263,0.3145
1052,526.0,2.609,2.678,2,2.089,2.258,0.3140
1054,527.0,2.607,2.676,2,2.092,2.253,0.3143
1056,528.0,2.605,2.674,2,2.097,2.247,0.3155
1058,529.0,2.603,2.672,2,2.102,2.242,0.3172
1060,530.0,2.600,2.670,2,2.108,2.236,0.3193
1062,531.0,2.598,2.668,2,2.116,2.230,0.3212
1064,532.0,2.595,2.666,2,2.124,2.224,0.3232
1066,533.0,2.592,2.664,2,2.132,2.219,0.3250
1068,534.0,2.589,2.662,2,2.141,2.214,0.3267
1070,535.0,2.585,2.660,2,2.150,2.209,0.3285
1072,536.0,2.582,2.658,2,2.160,2.203,0.3297
1074,537.0,2.578,2.656,2,2.170,2.198,0.3305
1076,538.0,2.575,2.654,2,2.179,2.193,0.3306
1078,539.0,2.572,2.652,2,2.187,2.188,0.3301
1080,540.0,2.569,2.650,2,2.181,2.197,0.3295
1082,541.0,2.566,2.648,2,2.175,2.205,0.3289
1084,542.0,2.564,2.646,2,2.169,2.212,0.3278
1086,543.0,2.562,2.644,2,2.163,2.219,0.3260
1088,544.0,2.560,2.642,2,2.158,2.226,0.3244
1090,545.0,2.558,2.640,2,2.153,2.231,0.3235
1092,546.0,2.557,2.638,2,2.148,2.237,0.3227
1094,547.0,2.555,2.636,2,2.145,2.242,0.3224
1096,548.0,2.554,2.634,2,2.143,2.247,0.3225
1098,549.0,2.552,2.632,2,2.142,2.252,0.3228
1100,550.0,2.550,2.630,2,2.141,2.256,0.3232
1102,551.0,2.548,2.628,2,2.142,2.260,0.3240
1104,552.0,2.546,2.626,2,2.144,2.263,0.3253
1106,553.0,2.544,2.624,2,2.147,2.266,0.3271
1108,554.0,2.542,2.622,2,2.151,2.268,0.3291
1110,555.0,2.540,2.620,2,2.156,2.270,0.3315
1112,556.0,2.538,2.618,2,2.161,2.272,0.3344
1114,557.0,2.536,2.616,2,2.167,2.272,0.3378
1116,558.0,2.534,2.614,2,2.173,2.272,0.3395
1118,559.0,2.533,2.612,2,2.178,2.271,0.3409
1120,560.0,2.533,2.610,2,2.184,2.269,0.3419
1122,561.0,2.532,2.608,2,2.189,2.266,0.3418
1124,562.0,2.532,2.606,2,2.195,2.262,0.3411
1126,563.0,2.533,2.604,2,2.201,2.258,0.3406
1128,564.0,2.533,2.602,2,2.207,2.253,0.3402
1130,565.0,2.533,2.600,2,2.214,2.249,0.3399
1132,566.0,2.533,2.598,2,2.221,2.244,0.3407
1134,567.0,2.532,2.596,2,2.229,2.239,0.3416
1136,568.0,2.532,2.594,2,2.234,2.237,0.3429
1138,569.0,2.531,2.592,2,2.229,2.246,0.3445
1140,570.0,2.530,2.590,2,2.224,2.256,0.3458
1142,571.0,2.529,2.588,2,2.220,2.266,0.3469
1144,572.0,2.528,2.586,2,2.215,2.276,0.3476
1146,573.0,2.527,2.584,2,2.210,2.287,0.3476
1148,574.0,2.526,2.582,2,2.205,2.297,0.3474
1150,575.0,2.525,2.580,2,2.201,2.307,0.3474
1152,576.0,2.524,2.578,2,2.196,2.317,0.3461
1154,577.0,2.524,2.576,2,2.191,2.325,0.3443
1156,578.0,2.524,2.574,2,2.186,2.333,0.3429
1158,579.0,2.523,2.572,2,2.180,2.340,0.3405
1160,580.0,2.523,2.570,2,2.175,2.345,0.3378
1162,581.0,2.523,2.568,2,2.170,2.351,0.3351
1164,582.0,2.523,2.566,2,2.165,2.356,0.3319
1166,583.0,2.522,2.564,2,2.161,2.361,0.3282
1168,584.0,2.521,2.562,2,2.158,2.366,0.3247
1170,585.0,2.519,2.560,2,2.155,2.371,0.3221
1172,586.0,2.517,2.558,2,2.152,2.375,0.3198
1174,587.0,2.515,2.556,2,2.151,2.380,0.3183
1176,588.0,2.513,2.554,2,2.150,2.385,0.3179
1178,589.0,2.511,2.552,2,2.150,2.389,0.3189
1180,590.0,2.508,2.550,2,2.151,2.394,0.3212
1182,591.0,2.506,2.548,2,2.152,2.398,0.3245
1184,592.0,2.504,2.546,2,2.154,2.401,0.3280
1186,593.0,2.501,2.544,2,2.157,2.404,0.3302
1188,594.0,2.499,2.542,2,2.159,2.406,0.3317
1190,595.0,2.497,2.540,2,2.162,2.407,0.3328
1192,596.0,2.496,2.538,2,2.164,2.407,0.3334
1194,597.0,2.494,2.536,2,2.167,2.405,0.3334
1196,598.0,2.492,2.534,2,2.170,2.403,0.3333
1198,599.0,2.490,2.532,2,2.174,2.401,0.3338
1200,600.0,2.488,2.530,2,2.177,2.398,0.3347
1202,601.0,2.486,2.528,2,2.182,2.395,0.3363
1204,602.0,2.484,2.526,2,2.187,2.392,0.3384
1206,603.0,2.481,2.524,2,2.192,2.389,0.3404
1208,604.0,2.478,2.522,2,2.197,2.386,0.3418
1210,605.0,2.475,2.520,2,2.204,2.383,0.3425
1212,606.0,2.471,2.518,2,2.210,2.380,0.3428
1214,607.0,2.467,2.516,2,2.217,2.377,0.3433
1216,608.0,2.464,2.514,2,2.224,2.375,0.3440
1218,609.0,2.460,2.512,2,2.231,2.372,0.3453
1220,610.0,2.456,2.510,2,2.238,2.369,0.3473
1222,611.0,2.453,2.508,2,2.244,2.365,0.3500
1224,612.0,2.450,2.506,2,2.250,2.361,0.3526
1226,613.0,2.447,2.504,2,2.256,2.356,0.3547
1228,614.0,2.444,2.502,2,2.262,2.350,0.3557
1230,615.0,2.442,2.500,2,2.267,2.345,0.3557
1232,616.0,2.440,2.498,2,2.272,2.339,0.3551
1234,617.0,2.437,2.496,2,2.276,2.333,0.3541
1236,618.0,2.435,2.494,2,2.281,2.328,0.3531
1238,619.0,2.432,2.492,2,2.285,2.323,0.3529
1240,620.0,2.429,2.490,2,2.290,2.319,0.3535
1242,621.0,2.425,2.488,2,2.294,2.315,0.3547
1244,622.0,2.422,2.486,2,2.298,2.312,0.3556
1246,623.0,2.418,2.484,2,2.302,2.310,0.3561
1248,624.0,2.414,2.482,2,2.305,2.307,0.3559
1250,625.0,2.410,2.480,2,2.305,2.308,0.3546
1252,626.0,2.406,2.478,2,2.303,2.311,0.3524
1254,627.0,2.402,2.476,2,2.301,2.313,0.3498
1256,628.0,2.399,2.474,2,2.298,2.314,0.3466
1258,629.0,2.395,2.472,2,2.296,2.314,0.3427
1260,630.0,2.392,2.470,2,2.292,2.314,0.3387
1262,631.0,2.390,2.468,2,2.289,2.313,0.3353
1264,632.0,2.387,2.466,2,2.286,2.312,0.3323
1266,633.0,2.385,2.464,2,2.284,2.311,0.3298
1268,634.0,2.382,2.462,2,2.282,2.309,0.3277
1270,635.0,2.380,2.460,2,2.280,2.307,0.3256
1272,636.0,2.378,2.458,2,2.280,2.305,0.3232
1274,637.0,2.376,2.456,2,2.280,2.303,0.3208
1276,638.0,2.373,2.454,2,2.281,2.301,0.3184
1278,639.0,2.371,2.452,2,2.283,2.298,0.3163
1280,640.0,2.368,2.450,2,2.285,2.296,0.3146
1282,641.0,2.365,2.448,2,2.288,2.293,0.3134
1284,642.0,2.363,2.446,2,2.290,2.291,0.3124
1286,643.0,2.360,2.444,2,2.286,2.294,0.3114
1288,644.0,2.357,2.442,2,2.282,2.297,0.3094
1290,645.0,2.355,2.440,2,2.277,2.299,0.3064
1292,646.0,2.353,2.438,2,2.272,2.302,0.3024
1294,647.0,2.351,2.436,2,2.265,2.304,0.2973
1296,648.0,2.348,2.434,2,2.259,2.306,0.2913
1298,649.0,2.346,2.432,2,2.252,2.308,0.2851
1300,650.0,2.344,2.430,2,2.244,2.310,0.2793
1302,651.0,2.342,2.428,2,2.237,2.313,0.2747
1304,652.0,2.341,2.426,2,2.230,2.316,0.2706
1306,653.0,2.339,2.424,2,2.223,2.320,0.2670
1308,654.0,2.336,2.422,2,2.217,2.324,0.2638
1310,655.0,2.334,2.420,2,2.211,2.329,0.2608
1312,656.0,2.332,2.418,2,2.206,2.334,0.2579
1314,657.0,2.330,2.416,2,2.200,2.340,0.2553
1316,658.0,2.328,2.414,2,2.196,2.346,0.2527
1318,659.0,2.325,2.412,2,2.192,2.352,0.2510
1320,660.0,2.323,2.410,2,2.188,2.359,0.2499
1322,661.0,2.321,2.408,2,2.184,2.365,0.2496
1324,662.0,2.319,2.406,2,2.181,2.371,0.2490
1326,663.0,2.317,2.404,2,2.177,2.377,0.2483
1328,664.0,2.315,2.402,2,2.174,2.382,0.2474
1330,665.0,2.313,2.400,2,2.172,2.386,0.2463
1332,666.0,2.311,2.398,2,2.169,2.390,0.2446
1334,667.0,2.309,2.396,2,2.166,2.394,0.2416
1336,668.0,2.307,2.394,2,2.164,2.397,0.2388
1338,669.0,2.304,2.392,2,2.163,2.400,0.2358
1340,670.0,2.301,2.390,2,2.163,2.404,0.2331
1342,671.0,2.298,2.388,2,2.163,2.407,0.2310
1344,672.0,2.294,2.386,2,2.164,2.411,0.2294
1346,673.0,2.290,2.384,2,2.167,2.415,0.2276
1348,674.0,2.286,2.382,2,2.170,2.419,0.2259
1350,675.0,2.282,2.380,2,2.174,2.423,0.2245
1352,676.0,2.279,2.378,2,2.179,2.427,0.2233
1354,677.0,2.275,2.376,2,2.185,2.432,0.2222
1356,678.0,2.271,2.374,2,2.191,2.436,0.2204
1358,679.0,2.268,2.372,2,2.198,2.441,0.2181
1360,680.0,2.264,2.370,2,2.206,2.445,0.2159
1362,681.0,2.261,2.368,2,2.214,2.449,0.2144
1364,682.0,2.258,2.366,2,2.222,2.452,0.2141
1366,683.0,2.255,2.364,2,2.230,2.456,0.2146
1368,684.0,2.253,2.362,2,2.238,2.459,0.2151
1370,685.0,2.250,2.360,2,2.247,2.462,0.2151
1372,686.0,2.247,2.358,2,2.255,2.466,0.2157
1374,687.0,2.244,2.356,2,2.264,2.469,0.2164
1376,688.0,2.240,2.354,2,2.273,2.473,0.2174
1378,689.0,2.236,2.352,2,2.283,2.477,0.2184
1380,690.0,2.232,2.350,2,2.293,2.481,0.2193
1382,691.0,2.227,2.348,2,2.303,2.486,0.2203
1384,692.0,2.222,2.346,2,2.314,2.491,0.2216
1386,693.0,2.217,2.344,2,2.325,2.497,0.2233
1388,694.0,2.212,2.342,2,2.337,2.503,0.2247
1390,695.0,2.207,2.340,2,2.348,2.509,0.2253
1392,696.0,2.203,2.338,2,2.359,2.515,0.2261
1394,697.0,2.199,2.336,2,2.370,2.521,0.2268
1396,698.0,2.196,2.334,2,2.381,2.527,0.2282
1398,699.0,2.194,2.332,2,2.392,2.534,0.2297
1400,700.0,2.191,2.330,2,2.403,2.541,0.2304
