step,time_fs,Al_height_A,Al_Mg_slab_A,nCl_bonded,AlCl1_A,AlCl2_A,qAl_mulliken
216,108.0,3.338,3.514,2,2.227,2.275,0.4954
218,109.0,3.339,3.512,2,2.233,2.279,0.4973
220,110.0,3.340,3.510,2,2.238,2.282,0.4991
222,111.0,3.341,3.508,2,2.243,2.286,0.5007
224,112.0,3.342,3.506,2,2.247,2.288,0.5022
226,113.0,3.343,3.504,2,2.252,2.291,0.5036
228,114.0,3.345,3.502,2,2.256,2.293,0.5051
230,115.0,3.346,3.500,2,2.260,2.296,0.5065
232,116.0,3.347,3.498,2,2.264,2.298,0.5075
234,117.0,3.349,3.496,2,2.268,2.300,0.5084
236,118.0,3.350,3.494,2,2.271,2.302,0.5090
238,119.0,3.351,3.492,2,2.274,2.305,0.5093
240,120.0,3.352,3.490,2,2.276,2.307,0.5092
242,121.0,3.353,3.488,2,2.279,2.310,0.5083
244,122.0,3.354,3.486,2,2.281,2.313,0.5068
246,123.0,3.355,3.484,2,2.282,2.316,0.5051
248,124.0,3.355,3.482,2,2.284,2.318,0.5035
250,125.0,3.356,3.480,2,2.284,2.319,0.5011
252,126.0,3.357,3.478,2,2.284,2.319,0.4991
254,127.0,3.358,3.476,2,2.284,2.319,0.4970
256,128.0,3.359,3.474,2,2.283,2.318,0.4950
258,129.0,3.359,3.472,2,2.282,2.318,0.4927
260,130.0,3.359,3.470,2,2.281,2.318,0.4904
262,131.0,3.359,3.468,2,2.279,2.319,0.4879
264,132.0,3.359,3.466,2,2.277,2.319,0.4856
266,133.0,3.360,3.464,2,2.275,2.318,0.4826
268,134.0,3.360,3.462,2,2.272,2.316,0.4794
270,135.0,3.360,3.460,2,2.269,2.314,0.4760
272,136.0,3.361,3.458,2,2.265,2.311,0.4724
274,137.0,3.361,3.456,2,2.261,2.308,0.4693
276,138.0,3.361,3.454,2,2.256,2.304,0.4663
278,139.0,3.362,3.452,2,2.252,2.299,0.4634
280,140.0,3.362,3.450,2,2.246,2.294,0.4603
282,141.0,3.363,3.448,2,2.241,2.288,0.4572
284,142.0,3.363,3.446,2,2.235,2.282,0.4538
286,143.0,3.364,3.444,2,2.229,2.276,0.4496
288,144.0,3.364,3.442,2,2.223,2.268,0.4446
290,145.0,3.365,3.440,2,2.217,2.261,0.4391
292,146.0,3.365,3.438,2,2.210,2.253,0.4336
294,147.0,3.365,3.436,2,2.204,2.246,0.4286
296,148.0,3.365,3.434,2,2.198,2.239,0.4245
298,149.0,3.365,3.432,2,2.192,2.234,0.4208
300,150.0,3.365,3.430,2,2.186,2.229,0.4175
302,151.0,3.365,3.428,2,2.181,2.225,0.4140
304,152.0,3.364,3.426,2,2.175,2.222,0.4103
306,153.0,3.364,3.424,2,2.170,2.220,0.4061
308,154.0,3.363,3.422,2,2.165,2.217,0.4019
310,155.0,3.362,3.420,2,2.160,2.213,0.3972
312,156.0,3.361,3.418,2,2.155,2.210,0.3922
314,157.0,3.360,3.416,2,2.150,2.206,0.3870
316,158.0,3.359,3.414,2,2.146,2.201,0.3820
318,159.0,3.358,3.412,2,2.141,2.197,0.3773
320,160.0,3.357,3.410,2,2.137,2.192,0.3735
322,161.0,3.355,3.408,2,2.133,2.187,0.3700
324,162.0,3.354,3.406,2,2.130,2.182,0.3668
326,163.0,3.353,3.404,2,2.127,2.178,0.3636
328,164.0,3.352,3.402,2,2.124,2.173,0.3605
330,165.0,3.351,3.400,2,2.122,2.169,0.3574
332,166.0,3.350,3.398,2,2.120,2.166,0.3543
334,167.0,3.349,3.396,2,2.119,2.163,0.3516
336,168.0,3.348,3.394,2,2.119,2.161,0.3496
338,169.0,3.346,3.392,2,2.118,2.159,0.3484
340,170.0,3.345,3.390,2,2.118,2.156,0.3478
342,171.0,3.344,3.388,2,2.119,2.153,0.3471
344,172.0,3.343,3.386,2,2.120,2.150,0.3463
346,173.0,3.342,3.384,2,2.121,2.149,0.3450
348,174.0,3.340,3.382,2,2.123,2.147,0.3430
350,175.0,3.338,3.380,2,2.125,2.145,0.3410
352,176.0,3.337,3.378,2,2.128,2.143,0.3386
354,177.0,3.335,3.376,2,2.130,2.141,0.3358
356,178.0,3.333,3.374,2,2.133,2.139,0.3332
358,179.0,3.332,3.372,2,2.136,2.138,0.3314
360,180.0,3.331,3.370,2,2.137,2.140,0.3311
362,181.0,3.329,3.368,2,2.137,2.144,0.3319
364,182.0,3.328,3.366,2,2.137,2.148,0.3332
366,183.0,3.327,3.364,2,2.137,2.152,0.3344
368,184.0,3.326,3.362,2,2.138,2.156,0.3345
370,185.0,3.326,3.360,2,2.138,2.160,0.3339
372,186.0,3.325,3.358,2,2.140,2.164,0.3328
374,187.0,3.324,3.356,2,2.142,2.168,0.3316
376,188.0,3.323,3.354,2,2.143,2.172,0.3309
378,189.0,3.322,3.352,2,2.144,2.175,0.3313
380,190.0,3.321,3.350,2,2.146,2.179,0.3329
382,191.0,3.320,3.348,2,2.148,2.182,0.3358
384,192.0,3.319,3.346,2,2.150,2.185,0.3400
386,193.0,3.318,3.344,2,2.153,2.189,0.3451
388,194.0,3.316,3.342,2,2.156,2.192,0.3506
390,195.0,3.315,3.340,2,2.160,2.195,0.3559
392,196.0,3.314,3.338,2,2.164,2.199,0.3600
394,197.0,3.312,3.336,2,2.168,2.201,0.3618
396,198.0,3.311,3.334,2,2.172,2.204,0.3617
398,199.0,3.310,3.332,2,2.177,2.207,0.3612
400,200.0,3.309,3.330,2,2.182,2.209,0.3612
402,201.0,3.308,3.328,2,2.187,2.212,0.3625
404,202.0,3.306,3.326,2,2.191,2.214,0.3652
406,203.0,3.305,3.324,2,2.196,2.215,0.3690
408,204.0,3.304,3.322,2,2.200,2.216,0.3735
410,205.0,3.303,3.320,2,2.205,2.217,0.3779
412,206.0,3.302,3.318,2,2.209,2.218,0.3822
414,207.0,3.301,3.316,2,2.215,2.219,0.3861
416,208.0,3.299,3.314,2,2.220,2.220,0.3896
418,209.0,3.298,3.312,2,2.221,2.227,0.3928
420,210.0,3.296,3.310,2,2.222,2.233,0.3964
422,211.0,3.295,3.308,2,2.222,2.239,0.3998
424,212.0,3.293,3.306,2,2.222,2.244,0.4023
426,213.0,3.291,3.304,2,2.223,2.249,0.4047
428,214.0,3.290,3.302,2,2.222,2.255,0.4078
430,215.0,3.288,3.300,2,2.222,2.260,0.4112
432,216.0,3.286,3.298,2,2.221,2.264,0.4141
434,217.0,3.284,3.296,2,2.220,2.268,0.4160
436,218.0,3.282,3.294,2,2.218,2.271,0.4166
438,219.0,3.280,3.292,2,2.216,2.274,0.4159
440,220.0,3.277,3.290,2,2.213,2.277,0.4151
442,221.0,3.275,3.288,2,2.211,2.279,0.4143
444,222.0,3.273,3.286,2,2.209,2.281,0.4138
446,223.0,3.271,3.284,2,2.207,2.284,0.4142
448,224.0,3.268,3.282,2,2.205,2.287,0.4156
450,225.0,3.266,3.280,2,2.204,2.290,0.4182
452,226.0,3.263,3.278,2,2.203,2.293,0.4222
454,227.0,3.260,3.276,2,2.202,2.296,0.4265
456,228.0,3.258,3.274,2,2.200,2.298,0.4291
458,229.0,3.255,3.272,2,2.199,2.300,0.4305
460,230.0,3.252,3.270,2,2.198,2.302,0.4310
462,231.0,3.249,3.268,2,2.197,2.304,0.4319
464,232.0,3.247,3.266,2,2.196,2.306,0.4337
466,233.0,3.244,3.264,2,2.194,2.306,0.4361
468,234.0,3.241,3.262,2,2.193,2.307,0.4390
470,235.0,3.238,3.260,2,2.191,2.307,0.4425
472,236.0,3.235,3.258,2,2.190,2.306,0.4465
474,237.0,3.231,3.256,2,2.189,2.306,0.4506
476,238.0,3.228,3.254,2,2.188,2.306,0.4545
478,239.0,3.225,3.252,2,2.188,2.307,0.4581
480,240.0,3.221,3.250,2,2.188,2.306,0.4603
482,241.0,3.218,3.248,2,2.188,2.305,0.4611
484,242.0,3.214,3.246,2,2.188,2.304,0.4599
486,243.0,3.210,3.244,2,2.188,2.303,0.4589
488,244.0,3.207,3.242,2,2.188,2.302,0.4580
