charge_depth_mAh_cm2,tau_s,gamma_ohm
0.03331,6.336072e-01,3.216597e+02
0.03331,7.109190e-01,3.387093e+02
0.03331,7.976643e-01,3.560464e+02
0.03331,8.949940e-01,3.736430e+02
0.03331,1.004200e+00,3.914723e+02
0.03331,1.126731e+00,4.095091e+02
0.03331,1.264213e+00,4.277299e+02
0.03331,1.418470e+00,4.461127e+02
0.03331,1.591549e+00,4.646375e+02
0.03331,1.785748e+00,4.832859e+02
0.03331,2.003642e+00,5.020413e+02
0.03331,2.248123e+00,5.208887e+02
0.03331,2.522436e+00,5.398147e+02
0.03331,2.830220e+00,5.588074e+02
0.03331,3.175559e+00,5.778562e+02
0.03331,3.563035e+00,5.969520e+02
0.03331,3.997791e+00,6.160864e+02
0.03331,4.485596e+00,6.352526e+02
0.03331,5.032921e+00,6.544444e+02
0.03331,5.647030e+00,6.736566e+02
0.03331,6.336072e+00,6.928847e+02
0.03331,7.109190e+00,7.121250e+02
0.03331,7.976643e+00,7.313744e+02
0.03331,8.949940e+00,7.506303e+02
0.03331,1.004200e+01,7.698907e+02
0.03331,1.126731e+01,7.891539e+02
0.03331,1.264213e+01,8.084187e+02
0.03331,1.418470e+01,8.276844e+02
0.03331,1.591549e+01,8.469503e+02
0.06661,1.591549e-07,0.000000e+00
0.06661,1.785748e-07,0.000000e+00
0.06661,2.003642e-07,0.000000e+00
0.06661,2.248123e-07,0.000000e+00
0.06661,2.522436e-07,0.000000e+00
0.06661,2.830220e-07,0.000000e+00
0.06661,3.175559e-07,0.000000e+00
0.06661,3.563035e-07,0.000000e+00
0.06661,3.997791e-07,0.000000e+00
0.06661,4.485596e-07,0.000000e+00
0.06661,5.032921e-07,0.000000e+00
0.06661,5.647030e-07,0.000000e+00
0.06661,6.336072e-07,0.000000e+00
0.06661,7.109190e-07,0.000000e+00
0.06661,7.976643e-07,0.000000e+00
0.06661,8.949940e-07,0.000000e+00
0.06661,1.004200e-06,0.000000e+00
0.06661,1.126731e-06,0.000000e+00
0.06661,1.264213e-06,0.000000e+00
0.06661,1.418470e-06,0.000000e+00
0.06661,1.591549e-06,0.000000e+00
0.06661,1.785748e-06,0.000000e+00
0.06661,2.003642e-06,0.000000e+00
0.06661,2.248123e-06,0.000000e+00
0.06661,2.522436e-06,0.000000e+00
0.06661,2.830220e-06,0.000000e+00
0.06661,3.175559e-06,0.000000e+00
0.06661,3.563035e-06,0.000000e+00
0.06661,3.997791e-06,0.000000e+00
0.06661,4.485596e-06,0.000000e+00
0.06661,5.032921e-06,0.000000e+00
0.06661,5.647030e-06,0.000000e+00
0.06661,6.336072e-06,0.000000e+00
0.06661,7.109190e-06,0.000000e+00
0.06661,7.976643e-06,0.000000e+00
