charge_depth_mAh_cm2,tau_s,gamma_ohm
0.03331,6.336072e-01,9.841537e+02
0.03331,7.109190e-01,1.025828e+03
0.03331,7.976643e-01,1.068079e+03
0.03331,8.949940e-01,1.110851e+03
0.03331,1.004200e+00,1.154092e+03
0.03331,1.126731e+00,1.197751e+03
0.03331,1.264213e+00,1.241783e+03
0.03331,1.418470e+00,1.286145e+03
0.03331,1.591549e+00,1.330795e+03
0.03331,1.785748e+00,1.375698e+03
0.03331,2.003642e+00,1.420821e+03
0.03331,2.248123e+00,1.466133e+03
0.03331,2.522436e+00,1.511607e+03
0.03331,2.830220e+00,1.557219e+03
0.03331,3.175559e+00,1.602948e+03
0.03331,3.563035e+00,1.648774e+03
0.03331,3.997791e+00,1.694681e+03
0.03331,4.485596e+00,1.740654e+03
0.03331,5.032921e+00,1.786681e+03
0.03331,5.647030e+00,1.832750e+03
0.03331,6.336072e+00,1.878853e+03
0.03331,7.109190e+00,1.924981e+03
0.03331,7.976643e+00,1.971129e+03
0.03331,8.949940e+00,2.017290e+03
0.03331,1.004200e+01,2.063461e+03
0.03331,1.126731e+01,2.109638e+03
0.03331,1.264213e+01,2.155818e+03
0.03331,1.418470e+01,2.202000e+03
0.03331,1.591549e+01,2.248182e+03
0.06661,1.591549e-07,0.000000e+00
0.06661,1.785748e-07,0.000000e+00
0.06661,2.003642e-07,0.000000e+00
0.06661,2.248123e-07,0.000000e+00
0.06661,2.522436e-07,0.000000e+00
0.06661,2.830220e-07,0.000000e+00
0.06661,3.175559e-07,0.000000e+00
0.06661,3.563035e-07,0.000000e+00
0.06661,3.997791e-07,0.000000e+00
0.06661,4.485596e-07,0.000000e+00
0.06661,5.032921e-07,0.000000e+00
0.06661,5.647030e-07,0.000000e+00
0.06661,6.336072e-07,0.000000e+00
0.06661,7.109190e-07,0.000000e+00
0.06661,7.976643e-07,0.000000e+00
0.06661,8.949940e-07,0.000000e+00
0.06661,1.004200e-06,0.000000e+00
0.06661,1.126731e-06,0.000000e+00
0.06661,1.264213e-06,0.000000e+00
0.06661,1.418470e-06,0.000000e+00
0.06661,1.591549e-06,0.000000e+00
0.06661,1.785748e-06,0.000000e+00
0.06661,2.003642e-06,0.000000e+00
0.06661,2.248123e-06,0.000000e+00
0.06661,2.522436e-06,0.000000e+00
0.06661,2.830220e-06,0.000000e+00
0.06661,3.175559e-06,0.000000e+00
0.06661,3.563035e-06,0.000000e+00
0.06661,3.997791e-06,0.000000e+00
0.06661,4.485596e-06,1.263097e-03
0.06661,5.032921e-06,1.369057e-02
0.06661,5.647030e-06,3.957505e-02
0.06661,6.336072e-06,7.631411e-02
0.06661,7.109190e-06,1.187692e-01
0.06661,7.976643e-06,1.612146e-01
0.06661,8.949940e-06,1.988427e-01
0.06661,1.004200e-05,2.288162e-01
0.06661,1.126731e-05,2.508759e-01
0.06661,1.264213e-05,2.675333e-01
0.06661,1.418470e-05,2.838933e-01
0.06661,1.591549e-05,3.071650e-01
0.06661,1.785748e-05,3.459310e-01
0.06661,2.003642e-05,4.092505e-01
0.06661,2.248123e-05,5.056786e-01
0.06661,2.522436e-05,6.422828e-01
0.06661,2.830220e-05,8.237351e-01
0.06661,3.175559e-05,1.051553e+00
