charge_depth_mAh_cm2,1.5915e-07,1.7857e-07,2.0036e-07,2.2481e-07,2.5224e-07,2.8302e-07,3.1756e-07,3.5630e-07,3.9978e-07,4.4856e-07,5.0329e-07,5.6470e-07,6.3361e-07,7.1092e-07,7.9766e-07,8.9499e-07,1.0042e-06,1.1267e-06,1.2642e-06,1.4185e-06,1.5915e-06,1.7857e-06,2.0036e-06,2.2481e-06,2.5224e-06,2.8302e-06,3.1756e-06,3.5630e-06,3.9978e-06,4.4856e-06,5.0329e-06,5.6470e-06,6.3361e-06,7.1092e-06,7.9766e-06,8.9499e-06,1.0042e-05,1.1267e-05,1.2642e-05,1.4185e-05,1.5915e-05,1.7857e-05,2.0036e-05,2.2481e-05,2.5224e-05,2.8302e-05,3.1756e-05,3.5630e-05,3.9978e-05,4.4856e-05,5.0329e-05,5.6470e-05,6.3361e-05,7.1092e-05,7.9766e-05,8.9499e-05,1.0042e-04,1.1267e-04,1.2642e-04,1.4185e-04,1.5915e-04,1.7857e-04,2.0036e-04,2.2481e-04,2.5224e-04,2.8302e-04,3.1756e-04,3.5630e-04,3.9978e-04,4.4856e-04,5.0329e-04,5.6470e-04,6.3361e-04,7.1092e-04,7.9766e-04,8.9499e-04,1.0042e-03,1.1267e-03,1.2642e-03,1.4185e-03,1.5915e-03,1.7857e-03,2.0036e-03,2.2481e-03,2.5224e-03,2.8302e-03,3.1756e-03,3.5630e-03,3.9978e-03,4.4856e-03,5.0329e-03,5.6470e-03,6.3361e-03,7.1092e-03,7.9766e-03,8.9499e-03,1.0042e-02,1.1267e-02,1.2642e-02,1.4185e-02,1.5915e-02,1.7857e-02,2.0036e-02,2.2481e-02,2.5224e-02,2.8302e-02,3.1756e-02,3.5630e-02,3.9978e-02,4.4856e-02,5.0329e-02,5.6470e-02,6.3361e-02,7.1092e-02,7.9766e-02,8.9499e-02,1.0042e-01,1.1267e-01,1.2642e-01,1.4185e-01,1.5915e-01,1.7857e-01,2.0036e-01,2.2481e-01,2.5224e-01,2.8302e-01,3.1756e-01,3.5630e-01,3.9978e-01,4.4856e-01,5.0329e-01,5.6470e-01,6.3361e-01,7.1092e-01,7.9766e-01,8.9499e-01,1.0042e+00,1.1267e+00,1.2642e+00,1.4185e+00,1.5915e+00,1.7857e+00,2.0036e+00,2.2481e+00,2.5224e+00,2.8302e+00,3.1756e+00,3.5630e+00,3.9978e+00,4.4856e+00,5.0329e+00,5.6470e+00,6.3361e+00,7.1092e+00,7.9766e+00,8.9499e+00,1.0042e+01,1.1267e+01,1.2642e+01,1.4185e+01,1.5915e+01
0.03331,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.77893e-03,2.50321e-02,5.83242e-02,1.01761e-01,1.49304e-01,1.94676e-01,2.32819e-01,2.60902e-01,2.78887e-01,2.89679e-01,2.98902e-01,3.14380e-01,3.45362e-01,4.01592e-01,4.92295e-01,6.25153e-01,8.05375e-01,1.03489e+00,1.31180e+00,1.63002e+00,1.97933e+00,2.34563e+00,2.71164e+00,3.05779e+00,3.36348e+00,3.60847e+00,3.77450e+00,3.84682e+00,3.81588e+00,3.67870e+00,3.44011e+00,3.11368e+00,2.72221e+00,2.29781e+00,1.88154e+00,1.52252e+00,1.27666e+00,1.20490e+00,1.37126e+00,1.84049e+00,2.67573e+00,3.93611e+00,5.67446e+00,7.93518e+00,1.07526e+01,1.41494e+01,1.81359e+01,2.27098e+01,2.78558e+01,3.35466e+01,3.97440e+01,4.63999e+01,5.34588e+01,6.08595e+01,6.85374e+01,7.64268e+01,8.44636e+01,9.25869e+01,1.00742e+02,1.08882e+02,1.16968e+02,1.24974e+02,1.32883e+02,1.40691e+02,1.48409e+02,1.56057e+02,1.63668e+02,1.71288e+02,1.78973e+02,1.86787e+02,1.94803e+02,2.03103e+02,2.11770e+02,2.20895e+02,2.30567e+02,2.40879e+02,2.51921e+02,2.63782e+02,2.76546e+02,2.90293e+02,3.05095e+02,3.21020e+02,3.38126e+02,3.56464e+02,3.76074e+02,3.96989e+02,4.19233e+02,4.42819e+02,4.67752e+02,4.94027e+02,5.21633e+02,5.50547e+02,5.80743e+02,6.12185e+02,6.44832e+02,6.78639e+02,7.13554e+02,7.49523e+02,7.86489e+02,8.24392e+02,8.63171e+02,9.02765e+02,9.43113e+02,9.84154e+02,1.02583e+03,1.06808e+03,1.11085e+03,1.15409e+03,1.19775e+03,1.24178e+03,1.28614e+03,1.33080e+03,1.37570e+03,1.42082e+03,1.46613e+03,1.51161e+03,1.55722e+03,1.60295e+03,1.64877e+03,1.69468e+03,1.74065e+03,1.78668e+03,1.83275e+03,1.87885e+03,1.92498e+03,1.97113e+03,2.01729e+03,2.06346e+03,2.10964e+03,2.15582e+03,2.20200e+03,2.24818e+03
0.06661,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.26310e-03,1.36906e-02,3.95750e-02,7.63141e-02,1.18769e-01,1.61215e-01,1.98843e-01,2.28816e-01,2.50876e-01,2.67533e-01,2.83893e-01,3.07165e-01,3.45931e-01,4.09250e-01,5.05679e-01,6.42283e-01,8.23735e-01,1.05155e+00,1.32355e+00,1.63355e+00,1.97141e+00,2.32332e+00,2.67245e+00,2.99992e+00,3.28592e+00,3.51119e+00,3.65845e+00,3.71403e+00,3.66933e+00,3.52228e+00,3.27839e+00,2.95166e+00,2.56501e+00,2.15027e+00,1.74779e+00,1.40550e+00,1.17757e+00,1.12271e+00,1.30211e+00,1.77716e+00,2.60711e+00,3.84670e+00,5.54389e+00,7.73783e+00,1.04572e+01,1.37190e+01,1.75276e+01,2.18746e+01,2.67387e+01,3.20871e+01,3.78761e+01,4.40529e+01,5.05574e+01,5.73249e+01,6.42877e+01,7.13783e+01,7.85313e+01,8.56858e+01,9.27878e+01,9.97919e+01,1.06663e+02,1.13377e+02,1.19924e+02,1.26305e+02,1.32536e+02,1.38644e+02,1.44672e+02,1.50673e+02,1.56710e+02,1.62858e+02,1.69198e+02,1.75821e+02,1.82819e+02,1.90291e+02,1.98337e+02,2.07055e+02,2.16545e+02,2.26901e+02,2.38215e+02,2.50572e+02,2.64051e+02,2.78722e+02,2.94649e+02,3.11885e+02,3.30473e+02,3.50448e+02,3.71834e+02,3.94645e+02,4.18886e+02,4.44552e+02,4.71628e+02,5.00093e+02,5.29916e+02,5.61060e+02,5.93481e+02,6.27129e+02,6.61951e+02,6.97888e+02,7.34880e+02,7.72863e+02,8.11772e+02,8.51542e+02,8.92109e+02,9.33408e+02,9.75377e+02,1.01795e+03,1.06108e+03,1.10470e+03,1.14877e+03,1.19322e+03,1.23803e+03,1.28314e+03,1.32852e+03,1.37412e+03,1.41993e+03,1.46591e+03,1.51204e+03,1.55828e+03,1.60463e+03,1.65107e+03,1.69757e+03,1.74413e+03,1.79074e+03,1.83738e+03,1.88405e+03,1.93074e+03,1.97744e+03,2.02416e+03,2.07088e+03,2.11760e+03,2.16433e+03,2.21105e+03
0.09992,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.82464e-04,1.18565e-02,3.67519e-02,7.27678e-02,1.14865e-01,1.57344e-01,1.95376e-01,2.26077e-01,2.49133e-01,2.67006e-01,2.84763e-01,3.09595e-01,3.50084e-01,4.15310e-01,5.13858e-01,6.52833e-01,8.36938e-01,1.06771e+00,1.34295e+00,1.65645e+00,1.99797e+00,2.35358e+00,2.70630e+00,3.03704e+00,3.32578e+00,3.55301e+00,3.70127e+00,3.75669e+00,3.71057e+00,3.56075e+00,3.31278e+00,2.98076e+00,2.58777e+00,2.16589e+00,1.75575e+00,1.40556e+00,1.16976e+00,1.10722e+00,1.27918e+00,1.74691e+00,2.56928e+00,3.80037e+00,5.48717e+00,7.66752e+00,1.03684e+01,1.36048e+01,1.73785e+01,2.16785e+01,2.64807e+01,3.17489e+01,3.74360e+01,4.34860e+01,4.98357e+01,5.64168e+01,6.31591e+01,6.99923e+01,7.68488e+01,8.36660e+01,9.03886e+01,9.69705e+01,1.03376e+02,1.09583e+02,1.15580e+02,1.21372e+02,1.26976e+02,1.32422e+02,1.37756e+02,1.43034e+02,1.48325e+02,1.53707e+02,1.59268e+02,1.65101e+02,1.71306e+02,1.77987e+02,1.85249e+02,1.93197e+02,2.01936e+02,2.11567e+02,2.22186e+02,2.33884e+02,2.46745e+02,2.60844e+02,2.76248e+02,2.93015e+02,3.11193e+02,3.30817e+02,3.51915e+02,3.74503e+02,3.98587e+02,4.24163e+02,4.51218e+02,4.79728e+02,5.09664e+02,5.40986e+02,5.73650e+02,6.07605e+02,6.42794e+02,6.79157e+02,7.16630e+02,7.55148e+02,7.94642e+02,8.35045e+02,8.76288e+02,9.18305e+02,9.61028e+02,1.00440e+03,1.04834e+03,1.09282e+03,1.13776e+03,1.18311e+03,1.22884e+03,1.27488e+03,1.32121e+03,1.36779e+03,1.41458e+03,1.46154e+03,1.50867e+03,1.55592e+03,1.60328e+03,1.65074e+03,1.69826e+03,1.74585e+03,1.79348e+03,1.84116e+03,1.88886e+03,1.93658e+03,1.98432e+03,2.03206e+03,2.07982e+03,2.12758e+03,2.17534e+03,2.22310e+03
0.13322,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.06956e-03,1.56290e-02,4.25927e-02,8.00832e-02,1.22786e-01,1.64891e-01,2.01592e-01,2.30126e-01,2.50376e-01,2.65048e-01,2.79485e-01,3.01174e-01,3.38995e-01,4.02318e-01,5.00003e-01,6.39400e-01,8.25420e-01,1.05975e+00,1.34029e+00,1.66082e+00,2.01105e+00,2.37686e+00,2.74100e+00,3.08402e+00,3.38546e+00,3.62528e+00,3.78545e+00,3.85151e+00,3.81415e+00,3.67068e+00,3.42615e+00,3.09428e+00,2.69789e+00,2.26896e+00,1.84818e+00,1.48402e+00,1.23132e+00,1.14954e+00,1.30065e+00,1.74676e+00,2.54763e+00,3.75826e+00,5.42650e+00,7.59094e+00,1.02792e+01,1.35064e+01,1.72747e+01,2.15725e+01,2.63751e+01,3.16451e+01,3.73340e+01,4.33835e+01,4.97281e+01,5.62969e+01,6.30162e+01,6.98125e+01,7.66145e+01,8.33561e+01,8.99781e+01,9.64311e+01,1.02676e+02,1.08687e+02,1.14452e+02,1.19971e+02,1.25261e+02,1.30352e+02,1.35289e+02,1.40127e+02,1.44938e+02,1.49800e+02,1.54804e+02,1.60047e+02,1.65631e+02,1.71665e+02,1.78258e+02,1.85520e+02,1.93561e+02,2.02486e+02,2.12398e+02,2.23393e+02,2.35560e+02,2.48979e+02,2.63724e+02,2.79855e+02,2.97425e+02,3.16476e+02,3.37037e+02,3.59128e+02,3.82757e+02,4.07924e+02,4.34617e+02,4.62815e+02,4.92487e+02,5.23595e+02,5.56096e+02,5.89936e+02,6.25060e+02,6.61405e+02,6.98906e+02,7.37495e+02,7.77104e+02,8.17660e+02,8.59095e+02,9.01337e+02,9.44319e+02,9.87974e+02,1.03224e+03,1.07705e+03,1.12235e+03,1.16809e+03,1.21422e+03,1.26068e+03,1.30744e+03,1.35446e+03,1.40170e+03,1.44913e+03,1.49672e+03,1.54445e+03,1.59229e+03,1.64023e+03,1.68825e+03,1.73633e+03,1.78446e+03,1.83263e+03,1.88083e+03,1.92906e+03,1.97730e+03,2.02555e+03,2.07380e+03,2.12206e+03,2.17033e+03,2.21859e+03
0.16653,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.30276e-03,1.38647e-02,3.99052e-02,7.66787e-02,1.18886e-01,1.60664e-01,1.97128e-01,2.25447e-01,2.45465e-01,2.59902e-01,2.74175e-01,2.95892e-01,3.34107e-01,3.98390e-01,4.97816e-01,6.39934e-01,8.29818e-01,1.06926e+00,1.35617e+00,1.68426e+00,2.04305e+00,2.41814e+00,2.79187e+00,3.14430e+00,3.45443e+00,3.70165e+00,3.86735e+00,3.93656e+00,3.89958e+00,3.75343e+00,3.50309e+00,3.16238e+00,2.75450e+00,2.31198e+00,1.87632e+00,1.49697e+00,1.22994e+00,1.13595e+00,1.27825e+00,1.72022e+00,2.52281e+00,3.74202e+00,5.42645e+00,7.61514e+00,1.03357e+01,1.36031e+01,1.74186e+01,2.17693e+01,2.66289e+01,3.19579e+01,3.77053e+01,4.38100e+01,5.02034e+01,5.68112e+01,6.35564e+01,7.03620e+01,7.71534e+01,8.38611e+01,9.04229e+01,9.67865e+01,1.02911e+02,1.08767e+02,1.14341e+02,1.19633e+02,1.24658e+02,1.29445e+02,1.34040e+02,1.38499e+02,1.42893e+02,1.47303e+02,1.51822e+02,1.56549e+02,1.61588e+02,1.67052e+02,1.73053e+02,1.79704e+02,1.87119e+02,1.95408e+02,2.04677e+02,2.15026e+02,2.26549e+02,2.39330e+02,2.53445e+02,2.68961e+02,2.85932e+02,3.04403e+02,3.24408e+02,3.45968e+02,3.69095e+02,3.93789e+02,4.20040e+02,4.47827e+02,4.77123e+02,5.07889e+02,5.40080e+02,5.73644e+02,6.08524e+02,6.44658e+02,6.81979e+02,7.20417e+02,7.59903e+02,8.00364e+02,8.41728e+02,8.83924e+02,9.26880e+02,9.70530e+02,1.01481e+03,1.05965e+03,1.10500e+03,1.15079e+03,1.19699e+03,1.24353e+03,1.29038e+03,1.33750e+03,1.38484e+03,1.43239e+03,1.48009e+03,1.52795e+03,1.57591e+03,1.62398e+03,1.67213e+03,1.72034e+03,1.76861e+03,1.81691e+03,1.86525e+03,1.91361e+03,1.96198e+03,2.01037e+03,2.05877e+03,2.10717e+03,2.15557e+03,2.20397e+03
0.19983,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.70276e-03,1.74626e-02,4.59674e-02,8.50267e-02,1.28996e-01,1.71777e-01,2.08361e-01,2.35903e-01,2.54335e-01,2.66554e-01,2.78216e-01,2.97218e-01,3.32919e-01,3.95187e-01,4.93368e-01,6.35236e-01,8.26027e-01,1.06763e+00,1.35799e+00,1.69078e+00,2.05541e+00,2.43734e+00,2.81871e+00,3.17937e+00,3.49804e+00,3.75385e+00,3.92789e+00,4.00489e+00,3.97484e+00,3.83443e+00,3.58837e+00,3.25021e+00,2.84294e+00,2.39898e+00,1.95975e+00,1.57477e+00,1.30024e+00,1.19717e+00,1.32929e+00,1.76053e+00,2.55252e+00,3.76202e+00,5.43844e+00,7.62162e+00,1.03400e+01,1.36091e+01,1.74306e+01,2.17923e+01,2.66675e+01,3.20167e+01,3.77882e+01,4.39201e+01,5.03422e+01,5.69788e+01,6.37509e+01,7.05793e+01,7.73869e+01,8.41016e+01,9.06588e+01,9.70034e+01,1.03092e+02,1.08893e+02,1.14391e+02,1.19584e+02,1.24486e+02,1.29125e+02,1.33546e+02,1.37804e+02,1.41972e+02,1.46131e+02,1.50374e+02,1.54801e+02,1.59520e+02,1.64644e+02,1.70286e+02,1.76565e+02,1.83594e+02,1.91487e+02,2.00353e+02,2.10294e+02,2.21407e+02,2.33778e+02,2.47488e+02,2.62603e+02,2.79183e+02,2.97273e+02,3.16909e+02,3.38115e+02,3.60904e+02,3.85277e+02,4.11226e+02,4.38732e+02,4.67766e+02,4.98291e+02,5.30263e+02,5.63630e+02,5.98333e+02,6.34312e+02,6.71497e+02,7.09821e+02,7.49211e+02,7.89595e+02,8.30898e+02,8.73049e+02,9.15977e+02,9.59611e+02,1.00389e+03,1.04874e+03,1.09410e+03,1.13993e+03,1.18616e+03,1.23275e+03,1.27965e+03,1.32682e+03,1.37423e+03,1.42184e+03,1.46962e+03,1.51754e+03,1.56558e+03,1.61373e+03,1.66196e+03,1.71025e+03,1.75859e+03,1.80698e+03,1.85540e+03,1.90385e+03,1.95231e+03,2.00078e+03,2.04926e+03,2.09774e+03,2.14623e+03,2.19471e+03
0.23314,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.10275e-03,2.09442e-02,5.16663e-02,9.26896e-02,1.38119e-01,1.81726e-01,2.18470e-01,2.45552e-01,2.63012e-01,2.73890e-01,2.84015e-01,3.01459e-01,3.35755e-01,3.96932e-01,4.94475e-01,6.36271e-01,8.27646e-01,1.07055e+00,1.36295e+00,1.69855e+00,2.06673e+00,2.45290e+00,2.83917e+00,3.20527e+00,3.52985e+00,3.79189e+00,3.97233e+00,4.05574e+00,4.03189e+00,3.89730e+00,3.65644e+00,3.32265e+00,2.91867e+00,2.47673e+00,2.03808e+00,1.65208e+00,1.37483e+00,1.26733e+00,1.39333e+00,1.81688e+00,2.59981e+00,3.79915e+00,5.46468e+00,7.63670e+00,1.03441e+01,1.36031e+01,1.74159e+01,2.17709e+01,2.66421e+01,3.19906e+01,3.77652e+01,4.39044e+01,5.03386e+01,5.69921e+01,6.37860e+01,7.06409e+01,7.74793e+01,8.42286e+01,9.08233e+01,9.72071e+01,1.03335e+02,1.09175e+02,1.14709e+02,1.19934e+02,1.24862e+02,1.29518e+02,1.33947e+02,1.38203e+02,1.42355e+02,1.46485e+02,1.50685e+02,1.55054e+02,1.59700e+02,1.64735e+02,1.70274e+02,1.76435e+02,1.83333e+02,1.91084e+02,1.99796e+02,2.09574e+02,2.20516e+02,2.32711e+02,2.46240e+02,2.61173e+02,2.77570e+02,2.95479e+02,3.14937e+02,3.35971e+02,3.58594e+02,3.82811e+02,4.08612e+02,4.35981e+02,4.64889e+02,4.95302e+02,5.27173e+02,5.60453e+02,5.95084e+02,6.31002e+02,6.68142e+02,7.06433e+02,7.45803e+02,7.86179e+02,8.27487e+02,8.69653e+02,9.12607e+02,9.56277e+02,1.00060e+03,1.04550e+03,1.09093e+03,1.13682e+03,1.18313e+03,1.22980e+03,1.27678e+03,1.32404e+03,1.37154e+03,1.41925e+03,1.46712e+03,1.51515e+03,1.56330e+03,1.61154e+03,1.65988e+03,1.70828e+03,1.75673e+03,1.80523e+03,1.85376e+03,1.90231e+03,1.95088e+03,1.99946e+03,2.04805e+03,2.09665e+03,2.14525e+03,2.19384e+03
0.26644,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.49747e-03,2.21694e-02,5.41748e-02,9.69160e-02,1.44436e-01,1.90400e-01,2.29619e-01,2.59114e-01,2.78723e-01,2.91286e-01,3.02440e-01,3.20104e-01,3.53707e-01,4.13239e-01,5.08220e-01,6.46650e-01,8.34043e-01,1.07260e+00,1.36062e+00,1.69211e+00,2.05684e+00,2.44057e+00,2.82569e+00,3.19221e+00,3.51896e+00,3.78501e+00,3.97130e+00,4.06231e+00,4.04764e+00,3.92351e+00,3.69405e+00,3.37220e+00,2.98028e+00,2.55004e+00,2.12226e+00,1.74586e+00,1.47651e+00,1.37485e+00,1.50430e+00,1.92866e+00,2.70961e+00,3.90409e+00,5.56189e+00,7.72340e+00,1.04177e+01,1.36613e+01,1.74568e+01,2.17929e+01,2.66443e+01,3.19723e+01,3.77266e+01,4.38460e+01,5.02616e+01,5.68981e+01,6.36771e+01,7.05196e+01,7.73483e+01,8.40909e+01,9.06817e+01,9.70647e+01,1.03195e+02,1.09039e+02,1.14580e+02,1.19813e+02,1.24749e+02,1.29416e+02,1.33854e+02,1.38119e+02,1.42278e+02,1.46414e+02,1.50616e+02,1.54984e+02,1.59624e+02,1.64649e+02,1.70174e+02,1.76314e+02,1.83187e+02,1.90905e+02,1.99580e+02,2.09314e+02,2.20207e+02,2.32347e+02,2.45815e+02,2.60682e+02,2.77009e+02,2.94843e+02,3.14223e+02,3.35175e+02,3.57713e+02,3.81843e+02,4.07555e+02,4.34834e+02,4.63652e+02,4.93974e+02,5.25755e+02,5.58946e+02,5.93488e+02,6.29319e+02,6.66374e+02,7.04582e+02,7.43872e+02,7.84170e+02,8.25402e+02,8.67496e+02,9.10380e+02,9.53983e+02,9.98237e+02,1.04308e+03,1.08845e+03,1.13428e+03,1.18053e+03,1.22715e+03,1.27408e+03,1.32129e+03,1.36874e+03,1.41640e+03,1.46423e+03,1.51221e+03,1.56031e+03,1.60852e+03,1.65681e+03,1.70516e+03,1.75358e+03,1.80203e+03,1.85052e+03,1.89903e+03,1.94756e+03,1.99610e+03,2.04465e+03,2.09320e+03,2.14175e+03,2.19031e+03
0.29975,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.17889e-03,2.37938e-02,5.67171e-02,1.00175e-01,1.48121e-01,1.94193e-01,2.33219e-01,2.62260e-01,2.81208e-01,2.92956e-01,3.03202e-01,3.19924e-01,3.52618e-01,4.11353e-01,5.05744e-01,6.43905e-01,8.31481e-01,1.07082e+00,1.36034e+00,1.69423e+00,2.06232e+00,2.45044e+00,2.84101e+00,3.21396e+00,3.54797e+00,3.82190e+00,4.01638e+00,4.11548e+00,4.10838e+00,3.99084e+00,3.76647e+00,3.44775e+00,3.05654e+00,2.62425e+00,2.19138e+00,1.80672e+00,1.52594e+00,1.40980e+00,1.52205e+00,1.92695e+00,2.68677e+00,3.85918e+00,5.49476e+00,7.63480e+00,1.03093e+01,1.35355e+01,1.73170e+01,2.16431e+01,2.64891e+01,3.18169e+01,3.75761e+01,4.37058e+01,5.01366e+01,5.67932e+01,6.35965e+01,7.04665e+01,7.73252e+01,8.40991e+01,9.07214e+01,9.71348e+01,1.03293e+02,1.09162e+02,1.14722e+02,1.19968e+02,1.24909e+02,1.29572e+02,1.33997e+02,1.38237e+02,1.42360e+02,1.46446e+02,1.50585e+02,1.54877e+02,1.59428e+02,1.64350e+02,1.69759e+02,1.75770e+02,1.82502e+02,1.90069e+02,1.98582e+02,2.08146e+02,2.18861e+02,2.30819e+02,2.44100e+02,2.58778e+02,2.74915e+02,2.92560e+02,3.11754e+02,3.32523e+02,3.54885e+02,3.78845e+02,4.04396e+02,4.31522e+02,4.60197e+02,4.90387e+02,5.22047e+02,5.55128e+02,5.89572e+02,6.25317e+02,6.62297e+02,7.00443e+02,7.39680e+02,7.79937e+02,8.21138e+02,8.63211e+02,9.06082e+02,9.49682e+02,9.93940e+02,1.03879e+03,1.08418e+03,1.13004e+03,1.17632e+03,1.22297e+03,1.26994e+03,1.31719e+03,1.36469e+03,1.41239e+03,1.46027e+03,1.50830e+03,1.55646e+03,1.60472e+03,1.65306e+03,1.70148e+03,1.74995e+03,1.79846e+03,1.84700e+03,1.89557e+03,1.94416e+03,1.99276e+03,2.04137e+03,2.08998e+03,2.13859e+03,2.18721e+03
