E_minus_Ef_eV,totalDOS,pdos_Al,pdos_Mg
-1.100,11.52790,6.05351,5.47438
-1.080,11.10525,5.93538,5.16987
-1.060,10.72828,5.83981,4.88847
-1.040,10.39995,5.77346,4.62648
-1.020,10.14886,5.75812,4.39074
-1.000,10.02828,5.82831,4.19997
-0.980,10.10427,6.02294,4.08133
-0.960,10.43574,6.37272,4.06302
-0.940,11.05165,6.88676,4.16490
-0.920,11.93224,7.54229,4.38995
-0.900,13.00021,8.28123,4.71898
-0.880,14.12556,9.01531,5.11026
-0.860,15.14401,9.63938,5.50463
-0.840,15.88529,10.05022,5.83507
-0.820,16.20487,10.16626,6.03860
-0.800,16.01152,9.94361,6.06791
-0.780,15.28423,9.38433,5.89991
-0.760,14.07501,8.53540,5.53961
-0.740,12.49786,7.47933,5.01853
-0.720,10.70799,6.31921,4.38878
-0.700,8.87727,5.16278,3.71449
-0.680,7.17262,4.10935,3.06327
-0.660,5.74182,3.24230,2.49952
-0.640,4.70867,2.62777,2.08090
-0.620,4.17604,2.31822,1.85782
-0.600,4.23254,2.35786,1.87468
-0.580,4.95775,2.78676,2.17099
-0.560,6.42105,3.64067,2.78038
-0.540,8.67162,4.94511,3.72651
-0.520,11.72012,6.70439,5.01573
-0.500,15.51653,8.88815,6.62838
-0.480,19.93142,11.41999,8.51143
-0.460,24.74860,14.17283,10.57576
-0.440,29.67574,16.97502,12.70073
-0.420,34.37476,19.62818,14.74658
-0.400,38.50769,21.93452,16.57316
-0.380,41.78832,23.72757,18.06075
-0.360,44.02657,24.89882,19.12775
-0.340,45.15380,25.41304,19.74076
-0.320,45.22271,25.30827,19.91445
-0.300,44.38295,24.68105,19.70190
-0.280,42.84090,23.66174,19.17916
-0.260,40.81631,22.38753,18.42878
-0.240,38.50768,20.98047,17.52721
-0.220,36.07370,19.53523,16.53847
-0.200,33.63129,18.11735,15.51393
-0.180,31.26492,16.76913,14.49579
-0.160,29.03939,15.51835,13.52104
-0.140,27.00892,14.38565,12.62327
-0.120,25.21964,13.38793,11.83171
-0.100,23.70627,12.53806,11.16821
-0.080,22.48716,11.84276,10.64440
-0.060,21.56157,11.30084,10.26073
-0.040,20.91118,10.90326,10.00792
-0.020,20.50484,10.63484,9.87001
-0.000,20.30340,10.47614,9.82726
0.020,20.26148,10.40426,9.85721
0.040,20.32512,10.39162,9.93349
0.060,20.42707,10.40381,10.02326
0.080,20.48375,10.39821,10.08554
0.100,20.39805,10.32558,10.07247
0.120,20.07013,10.13548,9.93465
0.140,19.41486,9.78502,9.62985
0.160,18.38133,9.24857,9.13276
0.180,16.96815,8.52537,8.44278
0.200,15.22951,7.64247,7.58704
0.220,13.26962,6.65190,6.61772
0.240,11.22693,5.62272,5.60421
0.260,9.25267,4.63031,4.62236
0.280,7.48920,3.74551,3.74369
0.300,6.05294,3.02618,3.02676
0.320,5.02431,2.51217,2.51213
0.340,4.44465,2.22384,2.22081
0.360,4.31802,2.16298,2.15504
0.380,4.61524,2.31480,2.30044
0.400,5.27820,2.65012,2.62808
0.420,6.22362,3.12715,3.09647
0.440,7.34709,3.69350,3.65358
0.460,8.52849,4.28889,4.23961
0.480,9.64043,4.84929,4.79115
0.500,10.55967,5.31274,5.24693
0.520,11.18069,5.62615,5.55454
0.540,11.42903,5.75200,5.67703
0.560,11.27133,5.67344,5.59789
0.580,10.71970,5.39648,5.32322
0.600,9.82874,4.94856,4.88018
0.620,8.68578,4.37360,4.31218
0.640,7.39629,3.72469,3.67160
0.660,6.06759,3.05587,3.01172
0.680,4.79427,2.41479,2.37948
0.700,3.64790,1.83753,1.81036
0.720,2.67234,1.34622,1.32612
0.740,1.88445,0.94938,0.93508
0.760,1.27894,0.64436,0.63458
0.780,0.83524,0.42084,0.41440
0.800,0.52481,0.26444,0.26037
0.820,0.31722,0.15985,0.15738
0.840,0.18444,0.09294,0.09150
0.860,0.10316,0.05199,0.05117
0.880,0.05555,0.02799,0.02756
0.900,0.02892,0.01457,0.01435
0.920,0.01487,0.00749,0.00739
0.940,0.00829,0.00416,0.00413
0.960,0.00652,0.00324,0.00328
0.980,0.00884,0.00435,0.00449
1.000,0.01634,0.00802,0.00832
1.020,0.03224,0.01581,0.01643
1.040,0.06254,0.03066,0.03188
1.060,0.11709,0.05740,0.05969
1.080,0.21085,0.10336,0.10749
1.100,0.36487,0.17885,0.18601
1.120,0.60665,0.29737,0.30928
1.140,0.96911,0.47505,0.49406
1.160,1.48744,0.72913,0.75831
1.180,2.19348,1.07522,1.11825
1.200,3.10782,1.52342,1.58439
1.220,4.23063,2.07382,2.15681
1.240,5.53329,2.71237,2.82092
1.260,6.95328,3.40844,3.54484
1.280,8.39507,4.11519,4.27988
1.300,9.73840,4.77368,4.96472
1.320,10.85372,5.32040,5.53332
1.340,11.62245,5.69723,5.92523
1.360,11.95764,5.86153,6.09611
1.380,11.82010,5.79411,6.02599
1.400,11.22600,5.50289,5.72311
1.420,10.24371,5.02138,5.22233
1.440,8.98086,4.40234,4.57852
1.460,7.56496,3.70828,3.85668
1.480,6.12242,3.00116,3.12126
1.500,4.76067,2.33364,2.42703
1.520,3.55665,1.74344,1.81321
1.540,2.55296,1.25144,1.30152
1.560,1.76065,0.86306,0.89759
1.580,1.16662,0.57187,0.59476
1.600,0.74271,0.36407,0.37864
1.620,0.45429,0.22269,0.23160
1.640,0.26698,0.13087,0.13611
1.660,0.15075,0.07389,0.07685
1.680,0.08178,0.04009,0.04169
1.700,0.04263,0.02089,0.02173
1.720,0.02135,0.01046,0.01088
1.740,0.01027,0.00503,0.00524
1.760,0.00475,0.00233,0.00242
1.780,0.00211,0.00104,0.00108
1.800,0.00091,0.00045,0.00046
1.820,0.00040,0.00020,0.00020
1.840,0.00023,0.00012,0.00011
1.860,0.00027,0.00015,0.00012
1.880,0.00055,0.00032,0.00023
1.900,0.00125,0.00073,0.00052
1.920,0.00282,0.00166,0.00117
1.940,0.00614,0.00360,0.00253
1.960,0.01283,0.00753,0.00530
1.980,0.02577,0.01513,0.01064
2.000,0.04976,0.02921,0.02055
2.020,0.09232,0.05419,0.03813
2.040,0.16461,0.09661,0.06800
2.060,0.28208,0.16554,0.11654
2.080,0.46468,0.27266,0.19202
2.100,0.73601,0.43179,0.30422
2.120,1.12121,0.65760,0.46361
2.140,1.64342,0.96353,0.67988
2.160,2.31915,1.35906,0.96009
2.180,3.15350,1.84682,1.30668
2.200,4.13658,2.42048,1.71610
2.220,5.24278,3.06435,2.17843
2.240,6.43399,3.75527,2.67872
