E_minus_Ef_eV,totalDOS,pdos_O,pdos_Si
1.100,0.00000,0.00000,0.00000
1.120,0.00000,0.00000,0.00000
1.140,0.00000,0.00000,0.00000
1.160,0.00000,0.00000,0.00000
1.180,0.00000,0.00000,0.00000
1.200,0.00000,0.00000,0.00000
1.220,0.00000,0.00000,0.00000
1.240,0.00000,0.00000,0.00000
1.260,0.00000,0.00000,0.00000
1.280,0.00000,0.00000,0.00000
1.300,0.00000,0.00000,0.00000
1.320,0.00000,0.00000,0.00000
1.340,0.00000,0.00000,0.00000
1.360,0.00000,0.00000,0.00000
1.380,0.00000,0.00000,0.00000
1.400,0.00000,0.00000,0.00000
1.420,0.00000,0.00000,0.00000
1.440,0.00000,0.00000,0.00000
1.460,0.00000,0.00000,0.00000
1.480,0.00000,0.00000,0.00000
1.500,0.00000,0.00000,0.00000
1.520,0.00000,0.00000,0.00000
1.540,0.00000,0.00000,0.00000
1.560,0.00000,0.00000,0.00000
1.580,0.00000,0.00000,0.00000
1.600,0.00000,0.00000,0.00000
1.620,0.00000,0.00000,0.00000
1.640,0.00000,0.00000,0.00000
1.660,0.00000,0.00000,0.00000
1.680,0.00000,0.00000,0.00000
1.700,0.00000,0.00000,0.00000
1.720,0.00000,0.00000,0.00000
1.740,0.00000,0.00000,0.00000
1.760,0.00000,0.00000,0.00000
1.780,0.00000,0.00000,0.00000
1.800,0.00000,0.00000,0.00000
1.820,0.00000,0.00000,0.00000
1.840,0.00000,0.00000,0.00000
1.860,0.00000,0.00000,0.00000
1.880,0.00000,0.00000,0.00000
1.900,0.00000,0.00000,0.00000
1.920,0.00000,0.00000,0.00000
1.940,0.00000,0.00000,0.00000
1.960,0.00000,0.00000,0.00000
1.980,0.00000,0.00000,0.00000
2.000,0.00000,0.00000,0.00000
2.020,0.00000,0.00000,0.00000
2.040,0.00000,0.00000,0.00000
2.060,0.00000,0.00000,0.00000
2.080,0.00000,0.00000,0.00000
2.100,0.00000,0.00000,0.00000
2.120,0.00000,0.00000,0.00000
2.140,0.00000,0.00000,0.00000
2.160,0.00000,0.00000,0.00000
2.180,0.00000,0.00000,0.00000
2.200,0.00000,0.00000,0.00000
2.220,0.00000,0.00000,0.00000
2.240,0.00000,0.00000,0.00000
2.260,0.00000,0.00000,0.00000
2.280,0.00000,0.00000,0.00000
2.300,0.00000,0.00000,0.00000
2.320,0.00000,0.00000,0.00000
2.340,0.00000,0.00000,0.00000
2.360,0.00000,0.00000,0.00000
2.380,0.00000,0.00000,0.00000
2.400,0.00000,0.00000,0.00000
2.420,0.00000,0.00000,0.00000
2.440,0.00000,0.00000,0.00000
2.460,0.00000,0.00000,0.00000
2.480,0.00000,0.00000,0.00000
2.500,0.00000,0.00000,0.00000
2.520,0.00000,0.00000,0.00000
2.540,0.00000,0.00000,0.00000
2.560,0.00000,0.00000,0.00000
2.580,0.00000,0.00000,0.00000
2.600,0.00000,0.00000,0.00000
2.620,0.00000,0.00000,0.00000
2.640,0.00000,0.00000,0.00000
2.660,0.00000,0.00000,0.00000
2.680,0.00000,0.00000,0.00000
2.700,0.00000,0.00000,0.00000
2.720,0.00000,0.00000,0.00000
2.740,0.00000,0.00000,0.00000
2.760,0.00000,0.00000,0.00000
2.780,0.00000,0.00000,0.00000
2.800,0.00000,0.00000,0.00000
2.820,0.00000,0.00000,0.00000
2.840,0.00000,0.00000,0.00000
2.860,0.00000,0.00000,0.00000
2.880,0.00000,0.00000,0.00000
2.900,0.00000,0.00000,0.00000
2.920,0.00000,0.00000,0.00000
2.940,0.00000,0.00000,0.00000
2.960,0.00000,0.00000,0.00000
2.980,0.00000,0.00000,0.00000
3.000,0.00000,0.00000,0.00000
3.020,0.00000,0.00000,0.00000
3.040,0.00000,0.00000,0.00000
3.060,0.00000,0.00000,0.00000
3.080,0.00000,0.00000,0.00000
3.100,0.00000,0.00000,0.00000
3.120,0.00000,0.00000,0.00000
3.140,0.00000,0.00000,0.00000
3.160,0.00000,0.00000,0.00000
3.180,0.00000,0.00000,0.00000
3.200,0.00000,0.00000,0.00000
3.220,0.00000,0.00000,0.00000
3.240,0.00000,0.00000,0.00000
3.260,0.00000,0.00000,0.00000
3.280,0.00000,0.00000,0.00000
3.300,0.00000,0.00000,0.00000
3.320,0.00000,0.00000,0.00000
3.340,0.00000,0.00000,0.00000
3.360,0.00000,0.00000,0.00000
3.380,0.00000,0.00000,0.00000
3.400,0.00000,0.00000,0.00000
3.420,0.00000,0.00000,0.00000
3.440,0.00000,0.00000,0.00000
3.460,0.00000,0.00000,0.00000
3.480,0.00000,0.00000,0.00000
3.500,0.00000,0.00000,0.00000
3.520,0.00000,0.00000,0.00000
3.540,0.00000,0.00000,0.00000
3.560,0.00000,0.00000,0.00000
3.580,0.00000,0.00000,0.00000
3.600,0.00000,0.00000,0.00000
3.620,0.00000,0.00000,0.00000
3.640,0.00000,0.00000,0.00000
3.660,0.00000,0.00000,0.00000
3.680,0.00000,0.00000,0.00000
3.700,0.00000,0.00000,0.00000
3.720,0.00000,0.00000,0.00000
3.740,0.00000,0.00000,0.00000
3.760,0.00000,0.00000,0.00000
3.780,0.00000,0.00000,0.00000
3.800,0.00000,0.00000,0.00000
3.820,0.00000,0.00000,0.00000
3.840,0.00000,0.00000,0.00000
3.860,0.00000,0.00000,0.00000
3.880,0.00000,0.00000,0.00000
3.900,0.00000,0.00000,0.00000
3.920,0.00000,0.00000,0.00000
3.940,0.00000,0.00000,0.00000
3.960,0.00000,0.00000,0.00000
3.980,0.00000,0.00000,0.00000
4.000,0.00000,0.00000,0.00000
4.020,0.00000,0.00000,0.00000
4.040,0.00000,0.00000,0.00000
4.060,0.00000,0.00000,0.00000
4.080,0.00000,0.00000,0.00000
4.100,0.00000,0.00000,0.00000
4.120,0.00000,0.00000,0.00000
4.140,0.00000,0.00000,0.00000
4.160,0.00000,0.00000,0.00000
4.180,0.00000,0.00000,0.00000
4.200,0.00000,0.00000,0.00000
4.220,0.00000,0.00000,0.00000
4.240,0.00000,0.00000,0.00000
4.260,0.00000,0.00000,0.00000
4.280,0.00000,0.00000,0.00000
4.300,0.00000,0.00000,0.00000
4.320,0.00000,0.00000,0.00000
4.340,0.00000,0.00000,0.00000
4.360,0.00000,0.00000,0.00000
4.380,0.00000,0.00000,0.00000
4.400,0.00000,0.00000,0.00000
4.420,0.00000,0.00000,0.00000
4.440,0.00000,0.00000,0.00000
4.460,0.00000,0.00000,0.00000
4.480,0.00000,0.00000,0.00000
4.500,0.00000,0.00000,0.00000
4.520,0.00000,0.00000,0.00000
4.540,0.00000,0.00000,0.00000
4.560,0.00000,0.00000,0.00000
4.580,0.00000,0.00000,0.00000
4.600,0.00000,0.00000,0.00000
4.620,0.00000,0.00000,0.00000
4.640,0.00000,0.00000,0.00000
4.660,0.00000,0.00000,0.00000
4.680,0.00000,0.00000,0.00000
4.700,0.00000,0.00000,0.00000
4.720,0.00000,0.00000,0.00000
4.740,0.00000,0.00000,0.00000
4.760,0.00000,0.00000,0.00000
4.780,0.00000,0.00000,0.00000
4.800,0.00000,0.00000,0.00000
4.820,0.00000,0.00000,0.00000
4.840,0.00000,0.00000,0.00000
4.860,0.00000,0.00000,0.00000
4.880,0.00000,0.00000,0.00000
4.900,0.00000,0.00000,0.00000
4.920,0.00000,0.00000,0.00000
4.940,0.00000,0.00000,0.00000
4.960,0.00000,0.00000,0.00000
4.980,0.00000,0.00000,0.00000
5.000,0.00000,0.00000,0.00000
5.020,0.00000,0.00000,0.00000
5.040,0.00000,0.00000,0.00000
5.060,0.00000,0.00000,0.00000
5.080,0.00000,0.00000,0.00000
5.100,0.00000,0.00000,0.00000
5.120,0.00000,0.00000,0.00000
5.140,0.00000,0.00000,0.00000
5.160,0.00000,0.00000,0.00000
5.180,0.00000,0.00000,0.00000
5.200,0.00000,0.00000,0.00000
5.220,0.00000,0.00000,0.00000
5.240,0.00000,0.00000,0.00000
5.260,0.00000,0.00000,0.00000
5.280,0.00000,0.00000,0.00000
5.300,0.00000,0.00000,0.00000
5.320,0.00000,0.00000,0.00000
5.340,0.00000,0.00000,0.00000
5.360,0.00000,0.00000,0.00000
5.380,0.00000,0.00000,0.00000
5.400,0.00000,0.00000,0.00000
5.420,0.00000,0.00000,0.00000
5.440,0.00000,0.00000,0.00000
5.460,0.00000,0.00000,0.00000
5.480,0.00000,0.00000,0.00000
5.500,0.00000,0.00000,0.00000
5.520,0.00000,0.00000,0.00000
5.540,0.00000,0.00000,0.00000
5.560,0.00000,0.00000,0.00000
5.580,0.00000,0.00000,0.00000
5.600,0.00000,0.00000,0.00000
5.620,0.00000,0.00000,0.00000
5.640,0.00000,0.00000,0.00000
5.660,0.00000,0.00000,0.00000
5.680,0.00000,0.00000,0.00000
5.700,0.00000,0.00000,0.00000
5.720,0.00000,0.00000,0.00000
5.740,0.00000,0.00000,0.00000
5.760,0.00000,0.00000,0.00000
5.780,0.00000,0.00000,0.00000
5.800,0.00000,0.00000,0.00000
5.820,0.00000,0.00000,0.00000
5.840,0.00000,0.00000,0.00000
5.860,0.00000,0.00000,0.00000
5.880,0.00000,0.00000,0.00000
5.900,0.00000,0.00000,0.00000
5.920,0.00000,0.00000,0.00000
5.940,0.00000,0.00000,0.00000
5.960,0.00000,0.00000,0.00000
5.980,0.00000,0.00000,0.00000
6.000,0.00000,0.00000,0.00000
6.020,0.00000,0.00000,0.00000
6.040,0.00000,0.00000,0.00000
6.060,0.00000,0.00000,0.00000
6.080,0.00000,0.00000,0.00000
6.100,0.00000,0.00000,0.00000
6.120,0.00000,0.00000,0.00000
6.140,0.00000,0.00000,0.00000
6.160,0.00000,0.00000,0.00000
6.180,0.00000,0.00000,0.00000
6.200,0.00000,0.00000,0.00000
6.220,0.00000,0.00000,0.00000
6.240,0.00000,0.00000,0.00000
6.260,0.00000,0.00000,0.00000
6.280,0.00000,0.00000,0.00000
6.300,0.00000,0.00000,0.00000
6.320,0.00000,0.00000,0.00000
6.340,0.00000,0.00000,0.00000
6.360,0.00000,0.00000,0.00000
6.380,0.00000,0.00000,0.00000
6.400,0.00000,0.00000,0.00000
6.420,0.00000,0.00000,0.00000
6.440,0.00000,0.00000,0.00000
6.460,0.00000,0.00000,0.00000
6.480,0.00000,0.00000,0.00000
6.500,0.00000,0.00000,0.00000
6.520,0.00000,0.00000,0.00000
6.540,0.00000,0.00000,0.00000
6.560,0.00000,0.00000,0.00000
6.580,0.00000,0.00000,0.00000
6.600,0.00001,0.00001,0.00000
6.620,0.00002,0.00001,0.00001
6.640,0.00006,0.00004,0.00002
6.660,0.00014,0.00010,0.00004
6.680,0.00034,0.00023,0.00011
6.700,0.00079,0.00054,0.00025
6.720,0.00177,0.00122,0.00056
6.740,0.00381,0.00261,0.00120
6.760,0.00788,0.00540,0.00248
6.780,0.01565,0.01073,0.00492
6.800,0.02985,0.02046,0.00939
6.820,0.05471,0.03750,0.01721
