Raman_shift_cm-1,bareAPC_mean,bareAPC_sd,polyAPC_mean,polyAPC_sd,"(baseline-corrected, raw intensity units)"
477.92,36.6,51.8,79.8,25.7
480.99,38.2,54.0,85.3,26.1
484.06,41.6,58.8,89.8,26.5
487.13,50.1,64.6,93.6,26.9
490.20,66.9,69.3,96.5,27.3
493.27,92.4,70.8,98.8,27.7
496.34,120.8,72.3,100.5,28.2
499.41,149.8,73.9,101.7,28.6
502.47,177.0,75.5,102.9,29.1
505.54,200.5,77.3,104.4,29.7
508.60,218.8,79.4,106.7,30.2
511.66,231.2,81.7,110.1,30.8
514.72,237.9,84.6,114.8,31.1
517.78,240.4,87.8,120.4,31.1
520.84,241.1,91.0,126.6,30.9
523.90,242.4,93.7,132.6,30.4
526.96,245.7,95.7,137.6,29.8
530.01,251.1,96.7,141.0,29.1
533.06,256.7,96.8,142.4,28.5
536.12,260.1,96.6,141.5,27.9
539.17,258.5,96.8,138.6,27.3
542.22,250.5,97.9,134.3,26.8
545.27,237.1,99.8,129.3,26.3
548.32,220.8,102.5,124.6,25.8
551.37,205.7,105.5,120.9,25.2
554.41,196.4,108.2,118.9,24.6
557.46,196.0,110.0,118.8,24.0
560.50,205.8,111.0,120.8,23.4
563.55,224.4,111.5,124.7,22.9
566.59,248.7,111.7,130.4,22.6
569.63,275.0,111.9,137.4,22.5
572.67,300.6,111.9,145.2,22.6
575.71,324.1,111.1,153.5,22.7
578.74,344.8,109.4,161.8,22.7
581.78,362.5,106.5,170.1,22.7
584.82,376.1,102.8,178.4,22.7
587.85,383.7,99.0,186.7,22.7
590.88,383.8,95.5,195.3,22.8
593.92,375.7,92.6,204.6,22.9
596.95,360.2,90.3,214.8,23.1
599.98,340.2,88.3,226.2,23.2
603.01,319.3,86.3,238.9,23.1
606.03,300.9,83.9,252.6,22.7
609.06,287.1,80.7,267.1,22.1
612.09,278.3,76.2,281.2,21.2
615.11,272.7,70.4,294.0,20.4
618.13,267.8,63.4,303.9,19.8
621.15,261.2,55.7,309.7,19.4
624.17,251.9,47.9,310.6,19.2
627.20,241.5,40.6,306.5,19.2
630.21,233.8,34.3,298.4,19.4
633.23,233.9,29.6,288.3,19.6
636.25,245.9,27.1,278.7,20.0
639.26,271.8,27.1,272.2,20.5
642.28,311.0,29.0,271.2,21.2
645.29,360.9,31.7,277.1,22.0
648.30,418.4,34.6,290.2,23.1
651.31,480.0,37.9,309.5,24.4
654.32,541.7,42.1,332.8,25.9
657.33,598.1,47.8,357.3,27.4
660.34,642.0,54.6,379.4,28.7
663.35,665.4,61.3,396.0,29.6
666.35,662.2,66.6,404.5,30.1
669.36,630.4,69.8,403.9,30.1
672.36,573.7,71.3,394.2,29.7
675.36,500.1,72.2,376.9,29.1
678.36,419.6,73.6,354.5,28.3
681.36,341.9,76.0,329.7,27.6
684.36,274.1,79.2,305.3,27.0
687.36,220.9,82.3,282.9,26.5
690.36,184.4,84.6,263.7,26.2
693.35,165.2,85.9,247.9,26.0
696.35,161.9,86.5,235.1,25.7
699.34,171.0,86.8,224.6,25.4
702.33,186.8,87.0,215.6,25.0
705.32,202.5,86.8,207.6,24.6
708.31,211.9,85.7,200.1,24.1
711.30,210.1,83.5,192.7,23.5
714.29,195.4,80.3,185.4,22.9
717.28,168.3,76.5,177.9,22.3
720.26,131.7,72.5,170.3,21.8
723.25,89.1,68.5,162.3,21.2
726.23,52.2,57.1,153.8,20.6
729.22,28.1,39.8,144.9,20.0
732.20,14.7,20.9,135.5,19.2
735.18,5.2,7.3,125.7,18.5
738.16,0.4,0.6,115.3,17.8
741.14,0.9,1.3,104.2,16.9
744.11,6.3,8.9,92.6,15.9
747.09,15.5,21.9,81.0,14.9
750.06,31.7,35.6,70.4,13.7
753.04,67.9,38.1,61.6,12.5
756.01,109.4,35.3,55.8,11.4
758.98,148.4,32.1,53.3,10.4
761.95,183.2,28.8,54.1,9.5
764.92,212.5,25.6,57.1,8.6
767.89,235.1,22.8,61.3,7.7
770.86,250.1,20.3,65.5,7.1
773.82,255.9,18.3,68.6,6.7
776.79,251.1,16.5,69.9,6.5
779.75,234.3,14.7,69.0,6.4
782.72,204.9,12.7,65.9,6.5
785.68,163.4,10.4,61.0,6.5
788.64,111.6,7.9,54.4,6.5
791.60,52.6,5.2,46.6,6.6
794.56,0.0,0.0,37.9,6.7
797.51,0.0,0.0,28.4,6.7
800.47,0.0,0.0,18.3,6.4
803.43,0.0,0.0,8.4,6.0
806.38,0.0,0.0,2.4,3.4
809.33,0.0,0.0,0.0,0.0
812.29,0.0,0.0,0.0,0.0
815.24,0.0,0.0,0.0,0.0
818.19,0.0,0.0,0.0,0.0
821.13,0.0,0.0,0.0,0.0
824.08,14.8,12.5,0.0,0.0
827.03,60.1,28.4,0.0,0.0
829.98,118.3,32.7,0.0,0.0
832.92,181.1,37.3,0.0,0.0
835.86,250.1,41.5,0.0,0.0
838.81,325.9,45.1,0.0,0.0
841.75,407.7,48.2,0.0,0.0
844.69,493.2,50.8,0.0,0.0
847.63,579.3,53.4,0.0,0.0
850.57,662.9,56.5,0.0,0.0
853.50,741.8,60.5,0.0,0.0
856.44,815.9,65.7,0.0,0.0
859.38,887.7,72.3,0.0,0.0
862.31,962.3,80.1,0.0,0.0
865.24,1046.8,89.0,1.5,2.1
868.17,1150.1,98.8,33.0,8.2
871.10,1281.4,109.5,82.6,9.7
874.03,1450.4,121.5,148.8,12.1
876.96,1667.0,135.3,236.6,15.4
879.89,1941.9,151.9,352.1,19.6
882.82,2288.0,172.1,502.4,24.8
885.74,2721.0,197.1,694.6,30.9
888.67,3261.4,227.3,935.0,37.7
891.59,3932.6,261.3,1227.4,44.7
894.51,4756.9,294.3,1571.2,51.3
897.43,5745.2,317.9,1959.0,56.7
900.35,6882.0,322.3,2375.0,60.4
903.27,8108.9,300.7,2794.2,61.9
906.19,9317.7,254.1,3183.4,61.2
909.11,10358.0,194.2,3504.7,59.1
912.02,11067.1,140.2,3721.9,56.5
914.94,11310.8,111.4,3806.5,54.2
917.85,11024.6,118.4,3744.4,53.2
920.76,10236.2,158.4,3539.6,53.3
923.68,9059.9,216.6,3214.0,53.9
926.59,7664.0,272.2,2802.9,54.2
929.49,6227.1,307.1,2348.5,53.2
932.40,4895.7,313.0,1892.0,50.2
935.31,3762.0,292.2,1467.2,45.1
938.22,2860.3,254.4,1096.9,38.4
941.12,2180.9,211.3,792.1,31.4
944.03,1689.2,171.6,554.0,25.6
946.93,1341.6,139.8,376.3,22.6
949.83,1096.9,116.6,249.2,22.5
952.73,920.6,100.7,161.5,24.2
955.63,786.3,90.5,103.0,26.2
958.53,675.5,84.5,65.1,27.9
961.43,577.7,81.3,41.8,29.0
964.32,490.0,79.7,33.7,24.3
967.22,416.3,79.4,33.4,23.9
970.12,367.8,80.9,44.3,27.5
973.01,363.2,86.2,79.0,25.3
975.90,429.5,97.3,140.9,22.7
978.79,600.0,112.8,236.1,20.2
981.68,905.6,125.6,367.7,18.2
984.57,1359.3,125.5,532.8,17.0
987.46,1938.4,106.5,721.2,16.2
990.35,2574.8,75.2,915.5,15.8
993.23,3163.0,59.9,1094.3,15.3
996.12,3588.3,73.0,1236.4,14.3
999.00,3766.4,77.8,1326.8,12.7
1001.89,3677.0,61.5,1360.5,11.0
1004.77,3374.1,58.6,1345.1,11.6
1007.65,2969.6,99.4,1298.2,15.1
1010.53,2594.6,142.1,1242.9,19.6
1013.41,2356.2,162.0,1201.4,23.3
1016.28,2307.9,154.3,1189.1,25.0
1019.16,2441.8,125.7,1210.9,24.8
1022.04,2700.4,88.5,1261.3,23.1
1024.91,3000.8,56.3,1326.3,20.7
1027.79,3259.0,39.6,1388.1,18.5
1030.66,3410.3,36.6,1429.7,17.1
1033.53,3418.7,35.4,1438.9,16.8
1036.40,3278.9,33.5,1410.0,17.4
1039.27,3011.5,35.1,1344.3,18.4
1042.14,2654.2,41.7,1248.3,19.3
1045.01,2251.4,49.4,1131.9,19.7
1047.87,1846.4,54.3,1006.1,19.4
1050.74,1473.9,54.8,880.8,18.4
1053.60,1157.0,50.5,763.8,16.8
1056.46,906.0,42.5,660.5,15.0
1059.33,719.5,32.8,574.0,13.1
1062.19,587.8,24.3,505.2,11.2
1065.05,496.1,20.0,453.3,9.5
1067.91,429.6,20.4,416.6,8.0
1070.76,375.5,22.5,392.4,6.6
1073.62,325.3,23.8,377.4,5.5
1076.48,275.0,23.8,368.3,4.6
1079.33,224.5,22.6,362.0,3.8
1082.19,175.9,20.8,356.0,3.3
1085.04,132.2,19.2,348.4,3.0
1087.89,95.5,18.0,337.9,2.7
1090.74,65.8,17.7,324.0,2.4
1093.59,40.9,17.8,306.5,2.2
1096.44,19.2,15.4,285.7,1.9
1099.29,4.1,5.9,262.1,1.6
1102.13,0.0,0.0,236.4,1.3
1104.98,0.0,0.0,209.5,1.1
1107.82,0.0,0.0,182.2,1.1
1110.67,0.0,0.0,155.6,1.2
1113.51,0.0,0.0,130.2,1.5
1116.35,0.0,0.0,106.5,1.9
1119.19,0.0,0.0,84.6,2.5
1122.03,0.0,0.0,64.3,3.1
1124.87,0.0,0.0,45.2,3.7
1127.70,0.0,0.0,27.2,4.2
1130.54,0.0,0.0,10.3,4.5
1133.38,0.0,0.0,0.0,0.0
1136.21,0.0,0.0,0.0,0.0
1139.04,6.9,9.8,0.0,0.0
1141.87,61.5,21.3,0.0,0.0
1144.71,142.5,23.1,0.0,0.0
1147.54,235.9,24.0,0.0,0.0
1150.36,337.0,24.4,0.0,0.0
1153.19,439.2,25.1,0.0,0.0
1156.02,536.7,26.9,0.0,0.0
1158.85,626.5,30.1,3.1,2.6
1161.67,709.0,34.7,7.6,5.5
1164.49,788.0,39.9,11.7,7.0
1167.32,868.5,44.6,15.8,6.9
1170.14,954.1,47.8,19.6,6.8
1172.96,1044.9,49.4,24.2,6.8
1175.78,1137.7,49.8,30.1,6.9
1178.60,1226.6,49.6,37.4,7.2
1181.41,1304.9,49.4,45.4,7.6
1184.23,1366.5,49.8,53.0,8.1
1187.05,1407.2,50.8,59.0,8.5
1189.86,1425.6,52.8,62.4,8.8
1192.68,1423.6,56.0,63.3,8.9
1195.49,1406.6,60.8,62.9,8.7
1198.30,1384.3,67.1,63.7,8.2
1201.11,1369.3,74.3,69.0,7.3
1203.92,1375.3,81.4,82.5,6.2
1206.73,1414.6,87.1,107.4,4.9
1209.54,1494.9,90.1,145.6,3.7
1212.34,1617.1,90.1,197.8,2.9
1215.15,1775.2,87.5,262.8,2.9
1217.95,1956.8,83.4,338.0,3.6
1220.75,2145.9,79.3,419.3,4.6
1223.56,2326.4,76.4,501.7,5.6
1226.36,2485.2,75.5,580.0,6.7
1229.16,2613.8,76.3,649.0,7.8
1231.96,2709.1,78.2,704.4,8.9
1234.76,2771.5,79.9,743.5,10.0
1237.55,2803.5,80.3,764.8,11.1
1240.35,2806.7,78.9,768.8,12.0
1243.14,2781.0,75.7,756.6,12.7
1245.94,2724.8,71.4,730.3,13.0
1248.73,2636.1,66.7,692.1,13.1
1251.52,2514.1,62.5,644.0,12.9
1254.31,2361.1,59.1,588.1,12.5
1257.10,2182.4,56.5,526.5,12.1
1259.89,1986.4,54.3,462.0,11.8
1262.68,1783.1,51.9,397.5,11.5
1265.47,1582.7,48.9,336.3,11.3
1268.25,1394.1,44.9,281.2,11.0
1271.04,1223.4,39.8,234.5,10.6
1273.82,1074.2,34.0,197.0,10.1
1276.60,946.9,27.6,168.6,9.6
1279.39,840.2,21.1,148.3,9.2
1282.17,751.2,14.6,134.1,8.9
1284.95,676.0,8.4,124.2,8.7
1287.73,610.1,3.0,116.5,8.5
1290.50,549.3,2.9,109.5,8.3
1293.28,489.6,5.9,101.8,8.0
1296.06,428.7,7.5,92.9,7.6
1298.83,366.6,7.9,82.8,7.2
1301.61,305.3,7.6,72.0,6.8
1304.38,247.6,7.3,61.2,6.4
1307.15,196.4,7.6,51.4,6.0
1309.92,153.0,8.5,42.9,5.5
1312.69,117.3,9.7,35.5,4.9
1315.46,88.0,10.9,28.8,4.3
1318.23,63.4,12.0,21.8,3.7
1320.99,42.2,12.7,14.0,3.2
1323.76,23.2,13.4,4.9,2.7
1326.53,10.3,7.4,0.0,0.0
1329.29,0.1,0.2,0.0,0.0
1332.05,0.0,0.0,0.0,0.0
1334.81,0.0,0.0,0.0,0.0
1337.58,0.0,0.0,0.0,0.0
1340.33,0.0,0.0,0.0,0.0
1343.09,0.0,0.0,0.0,0.0
1345.85,0.0,0.0,0.0,0.0
1348.61,0.0,0.0,0.0,0.0
1351.36,0.0,0.0,0.0,0.0
1354.12,0.0,0.0,0.0,0.0
1356.87,0.0,0.0,0.0,0.0
1359.62,0.8,1.2,6.4,1.1
1362.38,46.2,7.3,27.4,1.4
1365.13,101.7,6.9,48.9,1.8
1367.88,151.1,6.5,68.7,2.3
1370.62,189.2,6.0,84.5,2.8
1373.37,214.2,6.7,94.6,3.2
1376.12,227.9,9.6,98.1,3.5
1378.87,234.8,13.5,95.0,3.8
1381.61,239.9,16.8,86.6,3.9
1384.35,246.7,18.9,74.7,4.1
1387.10,256.5,19.8,61.6,4.3
1389.84,268.2,20.0,49.5,4.6
1392.58,279.3,20.5,40.3,5.0
1395.32,287.9,21.9,35.2,5.4
1398.06,293.7,24.3,34.3,6.0
1400.80,298.2,27.3,37.2,6.6
1403.53,304.2,30.4,42.7,7.2
1406.27,314.4,32.9,49.8,7.7
1409.00,330.3,34.8,57.2,8.1
1411.74,352.3,36.5,64.3,8.3
1414.47,379.9,38.7,71.4,8.3
1417.20,413.4,42.3,79.1,8.1
1419.93,455.5,48.0,89.2,7.7
1422.66,511.4,55.8,103.9,7.1
1425.39,589.9,65.1,126.2,6.5
1428.12,701.0,75.2,159.3,6.0
1430.84,853.7,84.8,206.3,5.9
1433.57,1053.9,92.5,269.2,6.3
1436.30,1301.5,97.3,348.7,7.0
1439.02,1588.5,98.9,443.2,7.9
1441.74,1899.4,97.5,548.8,8.6
1444.46,2211.4,94.7,659.6,9.3
1447.18,2499.9,92.5,768.3,9.9
1449.91,2743.0,93.2,867.3,10.6
1452.62,2926.4,97.7,950.4,11.4
1455.34,3046.8,106.2,1013.3,12.5
1458.06,3111.6,117.0,1054.8,13.8
1460.77,3135.9,128.1,1076.8,15.3
1463.49,3138.1,137.5,1083.5,16.9
1466.20,3133.9,144.0,1081.0,18.4
1468.92,3135.2,147.2,1075.6,19.7
1471.63,3147.2,147.7,1072.6,20.5
1474.34,3170.0,146.0,1075.5,21.0
1477.05,3198.9,142.6,1085.0,21.1
1479.76,3225.7,137.7,1099.0,20.7
1482.47,3239.8,131.6,1113.0,20.1
1485.17,3228.8,124.6,1121.4,19.5
1487.88,3180.6,117.7,1118.3,18.8
1490.58,3085.3,111.7,1099.6,18.3
1493.29,2937.0,107.7,1062.7,18.0
1495.99,2736.7,106.2,1007.8,17.9
1498.69,2492.8,106.9,937.3,17.7
1501.40,2219.6,108.7,854.9,17.5
1504.10,1935.3,110.5,765.0,17.0
1506.79,1658.2,110.9,672.1,16.3
1509.49,1404.1,108.9,580.0,15.4
1512.19,1183.1,104.3,491.8,14.5
1514.89,998.8,97.7,410.0,13.7
1517.58,849.4,90.1,336.7,12.9
1520.28,729.4,82.6,273.6,12.4
